indice,timestamp_s,Aceleración,cpm,prof_cm,no_rcp
0,0.00,-10.294,0.0,0.0,0
1,0.01,-10.325,0.0,0.0,0
2,0.02,-10.358,0.0,0.0,0
3,0.03,-10.391,0.0,0.0,0
4,0.04,-10.45,0.0,0.0,0
5,0.05,-10.543,0.0,0.0,0
6,0.06,-10.636,0.0,0.0,0
7,0.07,-10.723,0.0,0.0,0
8,0.08,-10.753,0.0,0.0,0
9,0.09,-10.783,0.0,0.0,0
10,0.10,-10.813,0.0,0.0,0
11,0.11,-10.818,0.0,0.0,0
12,0.12,-10.815,0.0,0.0,0
13,0.13,-10.812,0.0,0.0,0
14,0.14,-10.764,0.0,0.0,0
15,0.15,-10.656,0.0,0.0,0
16,0.16,-10.548,0.0,0.0,0
17,0.17,-10.421,0.0,0.0,0
18,0.18,-10.125,0.0,0.0,0
19,0.19,-9.828,0.0,0.0,0
20,0.20,-9.531,0.0,0.0,0
21,0.21,-9.378,0.0,0.0,0
22,0.22,-9.27,0.0,0.0,0
23,0.23,-9.162,0.0,0.0,0
24,0.24,-9.06,0.0,0.0,0
25,0.25,-8.967,0.0,0.0,0
26,0.26,-8.874,0.0,0.0,0
27,0.27,-8.781,0.0,0.0,0
28,0.28,-8.688,0.0,0.0,0
29,0.29,-8.595,0.0,0.0,0
30,0.30,-8.502,0.0,0.0,0
31,0.31,-8.578,0.0,0.0,0
32,0.32,-8.707,0.0,0.0,0
33,0.33,-8.836,0.0,0.0,0
34,0.34,-8.994,0.0,0.0,0
35,0.35,-9.192,0.0,0.0,0
36,0.36,-9.39,0.0,0.0,0
37,0.37,-9.583,0.0,0.0,0
38,0.38,-9.721,0.0,0.0,0
39,0.39,-9.859,0.0,0.0,0
40,0.40,-9.997,0.0,0.0,0
41,0.41,-10.066,0.0,0.0,0
42,0.42,-10.114,0.0,0.0,0
43,0.43,-10.162,0.0,0.0,0
44,0.44,-10.2,0.0,0.0,0
45,0.45,-10.224,0.0,0.0,0
46,0.46,-10.248,0.0,0.0,0
47,0.47,-10.273,0.0,0.0,0
48,0.48,-10.309,0.0,0.0,0
49,0.49,-10.345,0.0,0.0,0
50,0.50,-10.381,0.0,0.0,0
51,0.51,-10.428,0.0,0.0,0
52,0.52,-10.479,0.0,0.0,0
53,0.53,-10.53,0.0,0.0,0
54,0.54,-10.587,0.0,0.0,0
55,0.55,-10.649,0.0,0.0,0
56,0.56,-10.712,0.0,0.0,0
57,0.57,-10.772,0.0,0.0,0
58,0.58,-10.79,0.0,0.0,0
59,0.59,-10.808,0.0,0.0,0
60,0.60,-10.826,0.0,0.0,0
61,0.61,-10.778,0.0,0.0,0
62,0.62,-10.709,0.0,0.0,0
63,0.63,-10.64,0.0,0.0,0
64,0.64,-10.544,0.0,0.0,0
