Índice,Aceleracion_Z,Comentario
0,-8.789114,50 compresiones
1,-8.832211,50 compresiones
2,-8.580819,50 compresiones
3,-9.270349,50 compresiones
4,-9.150639,50 compresiones
5,-8.858546,50 compresiones
6,-8.659827,50 compresiones
7,-8.508993,50 compresiones
8,-9.26556,50 compresiones
9,-9.399636,50 compresiones
10,-8.611943,50 compresiones
11,-8.820239,50 compresiones
12,-8.736442,50 compresiones
13,-9.090784,50 compresiones
14,-8.963891,50 compresiones
15,-8.755595,50 compresiones
16,-9.035717,50 compresiones
17,-8.662222,50 compresiones
18,-9.069236,50 compresiones
19,-8.798691,50 compresiones
20,-8.702923,50 compresiones
21,-8.951921,50 compresiones
22,-8.954314,50 compresiones
23,-8.860941,50 compresiones
24,-8.090008,50 compresiones
25,-9.481039,50 compresiones
26,-8.760384,50 compresiones
27,-9.040505,50 compresiones
28,-8.853758,50 compresiones
29,-9.083601,50 compresiones
30,-8.39886,50 compresiones
31,-8.971074,50 compresiones
32,-9.461885,50 compresiones
33,-8.904037,50 compresiones
34,-8.999804,50 compresiones
35,-8.853758,50 compresiones
36,-9.021352,50 compresiones
37,-9.188946,50 compresiones
38,-8.339005,50 compresiones
39,-8.887277,50 compresiones
40,-9.141062,50 compresiones
41,-8.92319,50 compresiones
42,-8.777143,50 compresiones
43,-9.181764,50 compresiones
44,-9.188946,50 compresiones
45,-9.217676,50 compresiones
46,-9.109938,50 compresiones
47,-8.927979,50 compresiones
48,-8.971074,50 compresiones
49,-9.208099,50 compresiones
50,-9.150639,50 compresiones
51,-9.181764,50 compresiones
52,-9.040505,50 compresiones
53,-9.050082,50 compresiones
54,-9.023746,50 compresiones
55,-9.153033,50 compresiones
56,-11.53526,50 compresiones
57,-9.093178,50 compresiones
58,-9.677363,50 compresiones
59,-8.599973,50 compresiones
60,-8.293514,50 compresiones
61,-8.506598,50 compresiones
62,-8.860941,50 compresiones
63,-8.750807,50 compresiones
64,-8.882488,50 compresiones
65,-9.533711,50 compresiones
66,-8.901642,50 compresiones
