tiempo_s,aceleracion_z
0.000,-10.740
0.010,-10.420
0.020,-10.081
0.030,-9.742
0.040,-9.462
0.050,-9.258
0.060,-9.054
0.070,-8.862
0.080,-8.784
0.090,-8.706
0.100,-8.628
0.110,-8.640
0.120,-8.679
0.130,-8.718
0.140,-8.754
0.150,-8.787
0.160,-8.820
0.170,-8.868
0.180,-9.060
0.190,-9.252
0.200,-9.444
0.210,-9.629
0.220,-9.812
0.230,-9.995
0.240,-10.168
0.250,-10.327
0.260,-10.486
0.270,-10.642
0.280,-10.771
0.290,-10.900
0.300,-11.029
0.310,-11.174
0.320,-11.324
0.330,-11.474
0.340,-11.547
0.350,-11.517
0.360,-11.487
0.370,-11.424
0.380,-11.031
0.390,-10.638
0.400,-10.245
0.410,-9.948
0.420,-9.681
0.430,-9.414
0.440,-9.197
0.450,-9.047
0.460,-8.897
0.470,-8.761
0.480,-8.767
0.490,-8.773
0.500,-8.779
0.510,-8.730
0.520,-8.664
0.530,-8.598
0.540,-8.613
0.550,-8.739
0.560,-8.865
0.570,-9.000
0.580,-9.224
0.590,-9.449
0.600,-9.674
0.610,-9.841
0.620,-9.988
0.630,-10.135
0.640,-10.269
0.650,-10.386
0.660,-10.503
0.670,-10.620
0.680,-10.737
0.690,-10.854
0.700,-10.971
0.710,-11.119
0.720,-11.278
0.730,-11.437
0.740,-11.460
0.750,-11.292
0.760,-11.124
0.770,-10.946
0.780,-10.655
0.790,-10.364
0.800,-10.073
0.810,-9.883
0.820,-9.727
0.830,-9.571
0.840,-9.393
0.850,-9.183
0.860,-8.973
0.870,-8.776
0.880,-8.728
0.890,-8.680
0.900,-8.632
0.910,-8.586
0.920,-8.541
0.930,-8.496
0.940,-8.519
0.950,-8.639
0.960,-8.759
0.970,-8.890
0.980,-9.154
0.990,-9.418
1.000,-9.682
1.010,-9.882
1.020,-10.058
1.030,-10.235
1.040,-10.382
1.050,-10.484
1.060,-10.586
1.070,-10.692
1.080,-10.848
1.090,-11.004
1.100,-11.160
1.110,-11.304
1.120,-11.445
1.130,-11.586
1.140,-11.627
1.150,-11.522
1.160,-11.417
1.170,-11.290
1.180,-10.879
1.190,-10.468
1.200,-10.057
1.210,-9.753
1.220,-9.486
1.230,-9.219
1.240,-8.998
1.250,-8.845
1.260,-8.692
1.270,-8.552
1.280,-8.585
1.290,-8.618
1.300,-8.651
1.310,-8.660
1.320,-8.660
1.330,-8.660
1.340,-8.732
1.350,-8.912
1.360,-9.092
1.370,-9.274
1.380,-9.487
1.390,-9.700
1.400,-9.913
1.410,-10.078
1.420,-10.225
1.430,-10.372
1.440,-10.503
1.450,-10.611
1.460,-10.719
1.470,-10.830
1.480,-10.980
1.490,-11.130
1.500,-11.280
1.510,-11.342
1.520,-11.372
1.530,-11.402
1.540,-11.372
1.550,-11.252
1.560,-11.132
1.570,-10.999
1.580,-10.663
1.590,-10.327
1.600,-9.991
1.610,-9.756
1.620,-9.558
1.630,-9.360
1.640,-9.184
1.650,-9.043
1.660,-8.902
1.670,-8.771
1.680,-8.792
1.690,-8.813
1.700,-8.834
1.710,-8.807
1.720,-8.762
1.730,-8.717
1.740,-8.762
1.750,-8.945
1.760,-9.128
1.770,-9.312
1.780,-9.525
1.790,-9.738
1.800,-9.951
1.810,-10.114
1.820,-10.258
1.830,-10.402
1.840,-10.547
1.850,-10.694
1.860,-10.841
1.870,-10.990
1.880,-11.176
1.890,-11.362
1.900,-11.548
1.910,-11.578
1.920,-11.548
1.930,-11.518
1.940,-11.360
1.950,-11.000
1.960,-10.640
1.970,-10.284
1.980,-9.993
1.990,-9.702
2.000,-9.411
2.010,-9.239
2.020,-9.113
2.030,-8.987
2.040,-8.905
2.050,-8.893
2.060,-8.881
2.070,-8.869
2.080,-8.857
2.090,-8.845
2.100,-8.833
2.110,-8.819
2.120,-8.804
2.130,-8.789
2.140,-8.854
2.150,-9.046
2.160,-9.238
2.170,-9.430
2.180,-9.634
2.190,-9.838
2.200,-10.042
2.210,-10.197
2.220,-10.332
2.230,-10.466
2.240,-10.613
2.250,-10.778
2.260,-10.943
2.270,-11.106
2.280,-11.238
2.290,-11.370
2.300,-11.502
2.310,-11.497
2.320,-11.437
2.330,-11.377
2.340,-11.203
2.350,-10.840
2.360,-10.477
2.370,-10.119
2.380,-9.879
2.390,-9.639
2.400,-9.399
2.410,-9.198
2.420,-9.012
2.430,-8.826
2.440,-8.700
2.450,-8.673
2.460,-8.646
2.470,-8.620
2.480,-8.626
2.490,-8.632
2.500,-8.638
2.510,-8.761
2.520,-8.932
2.530,-9.103
2.540,-9.286
2.550,-9.490
2.560,-9.694
2.570,-9.896
2.580,-10.046
2.590,-10.196
2.600,-10.346
2.610,-10.485
2.620,-10.620
2.630,-10.755
2.640,-10.912
2.650,-11.107
2.660,-11.302
2.670,-11.490
2.680,-11.496
2.690,-11.502
2.700,-11.508
2.710,-11.381
2.720,-11.198
2.730,-11.015
2.740,-10.769
2.750,-10.415
2.760,-10.061
2.770,-9.711
2.780,-9.462
2.790,-9.213
2.800,-8.964
2.810,-8.823
2.820,-8.727
2.830,-8.631
2.840,-8.592
2.850,-8.652
2.860,-8.712
2.870,-8.771
2.880,-8.795
2.890,-8.819
2.900,-8.843
2.910,-8.997
2.920,-9.207
2.930,-9.417
2.940,-9.631
2.950,-9.853
2.960,-10.075
2.970,-10.294
2.980,-10.411
2.990,-10.528
3.000,-10.645
3.010,-10.782
3.020,-10.929
3.030,-11.076
3.040,-11.216
3.050,-11.342
3.060,-11.468
3.070,-11.587
3.080,-11.497
3.090,-11.407
3.100,-11.318
3.110,-11.019
3.120,-10.629
3.130,-10.239
3.140,-9.909
3.150,-9.684
3.160,-9.459
3.170,-9.236
3.180,-9.080
3.190,-8.924
3.200,-8.768
3.210,-8.726
3.220,-8.735
3.230,-8.744
3.240,-8.741
3.250,-8.717
3.260,-8.693
3.270,-8.674
3.280,-8.833
3.290,-8.992
3.300,-9.151
3.310,-9.359
3.320,-9.590
3.330,-9.821
3.340,-10.023
3.350,-10.173
3.360,-10.323
3.370,-10.473
3.380,-10.593
3.390,-10.713
3.400,-10.832
3.410,-10.987
3.420,-11.158
3.430,-11.329
3.440,-11.455
3.450,-11.497
3.460,-11.539
3.470,-11.575
3.480,-11.332
3.490,-11.089
3.500,-10.847
3.510,-10.532
3.520,-10.184
3.530,-9.836
3.540,-9.540
3.550,-9.339
3.560,-9.138
3.570,-8.938
3.580,-8.845
3.590,-8.752
3.600,-8.660
3.610,-8.677
3.620,-8.746
3.630,-8.815
3.640,-8.855
3.650,-8.840
3.660,-8.825
3.670,-8.812
3.680,-8.962
3.690,-9.112
3.700,-9.262
3.710,-9.463
3.720,-9.688
3.730,-9.913
3.740,-10.116
3.750,-10.278
3.760,-10.440
3.770,-10.602
3.780,-10.731
3.790,-10.859
3.800,-10.988
3.810,-11.136
3.820,-11.292
3.830,-11.448
3.840,-11.552
3.850,-11.558
3.860,-11.564
3.870,-11.566
3.880,-11.201
3.890,-10.835
3.900,-10.469
3.910,-10.153
3.920,-9.863
3.930,-9.572
3.940,-9.322
3.950,-9.151
3.960,-8.980
3.970,-8.810
3.980,-8.750
3.990,-8.690
4.000,-8.630
4.010,-8.596
4.020,-8.575
4.030,-8.554
4.040,-8.558
4.050,-8.612
4.060,-8.666
4.070,-8.721
4.080,-8.991
4.090,-9.261
4.100,-9.531
4.110,-9.757
4.120,-9.961
4.130,-10.165
4.140,-10.343
4.150,-10.472
4.160,-10.601
4.170,-10.730
4.180,-10.853
4.190,-10.976
4.200,-11.099
4.210,-11.190
4.220,-11.265
4.230,-11.340
4.240,-11.352
4.250,-11.238
4.260,-11.124
4.270,-11.010
4.280,-10.722
4.290,-10.434
4.300,-10.146
4.310,-9.904
4.320,-9.685
4.330,-9.466
4.340,-9.270
4.350,-9.120
4.360,-8.970
4.370,-8.820
4.380,-8.832
4.390,-8.844
4.400,-8.856
4.410,-8.824
4.420,-8.770
4.430,-8.716
4.440,-8.692
4.450,-8.728
4.460,-8.764
4.470,-8.800
4.480,-9.048
4.490,-9.297
4.500,-9.546
4.510,-9.745
4.520,-9.919
4.530,-10.093
4.540,-10.256
4.550,-10.397
4.560,-10.538
4.570,-10.679
4.580,-10.853
4.590,-11.027
4.600,-11.201
4.610,-11.307
4.620,-11.379
4.630,-11.451
4.640,-11.469
4.650,-11.373
4.660,-11.277
4.670,-11.181
4.680,-10.800
4.690,-10.416
4.700,-10.032
4.710,-9.766
4.720,-9.562
4.730,-9.358
4.740,-9.181
4.750,-9.061
4.760,-8.941
4.770,-8.821
4.780,-8.820
4.790,-8.820
4.800,-8.820
4.810,-8.796
4.820,-8.760
4.830,-8.724
4.840,-8.740
4.850,-8.866
4.860,-8.992
4.870,-9.118
4.880,-9.368
4.890,-9.620
4.900,-9.872
4.910,-10.066
4.920,-10.228
4.930,-10.390
4.940,-10.538
4.950,-10.658
4.960,-10.778
4.970,-10.898
4.980,-11.015
4.990,-11.132
5.000,-11.249
5.010,-11.280
5.020,-11.265
5.030,-11.250
5.040,-11.192
5.050,-11.039
5.060,-10.886
5.070,-10.733
5.080,-10.503
5.090,-10.272
5.100,-10.041
5.110,-9.814
5.120,-9.589
5.130,-9.364
5.140,-9.172
5.150,-9.052
5.160,-8.932
5.170,-8.812
5.180,-8.869
5.190,-8.929
5.200,-8.989
5.210,-8.989
5.220,-8.956
5.230,-8.923
5.240,-8.956
5.250,-9.136
5.260,-9.316
5.270,-9.496
5.280,-9.679
5.290,-9.862
5.300,-10.045
5.310,-10.201
5.320,-10.342
5.330,-10.483
