tiempo_s,aceleracion_z
0.000,-9.134
0.010,-9.006
0.020,-8.922
0.030,-8.838
0.040,-8.811
0.050,-8.859
0.060,-8.907
0.070,-8.966
0.080,-9.128
0.090,-9.290
0.100,-9.452
0.110,-9.575
0.120,-9.686
0.130,-9.797
0.140,-9.887
0.150,-9.950
0.160,-10.013
0.170,-10.069
0.180,-10.063
0.190,-10.057
0.200,-10.051
0.210,-10.052
0.220,-10.055
0.230,-10.058
0.240,-10.056
0.250,-10.047
0.260,-10.038
0.270,-10.030
0.280,-10.030
0.290,-10.030
0.300,-10.030
0.310,-10.028
0.320,-10.025
0.330,-10.022
0.340,-10.028
0.350,-10.046
0.360,-10.064
0.370,-10.082
0.380,-10.103
0.390,-10.124
0.400,-10.145
0.410,-10.193
0.420,-10.250
0.430,-10.307
0.440,-10.383
0.450,-10.485
0.460,-10.587
0.470,-10.689
0.480,-10.794
0.490,-10.899
0.500,-11.004
0.510,-10.924
0.520,-10.783
0.530,-10.642
0.540,-10.393
0.550,-9.997
0.560,-9.602
0.570,-9.233
0.580,-9.159
0.590,-9.084
0.600,-9.009
0.610,-8.943
0.620,-8.880
0.630,-8.817
0.640,-8.818
0.650,-8.908
0.660,-8.998
0.670,-9.092
0.680,-9.239
0.690,-9.386
0.700,-9.533
0.710,-9.642
0.720,-9.738
0.730,-9.834
0.740,-9.904
0.750,-9.937
0.760,-9.970
0.770,-10.000
0.780,-10.003
0.790,-10.006
0.800,-10.009
0.810,-10.017
0.820,-10.026
0.830,-10.035
0.840,-10.034
0.850,-10.019
0.860,-10.004
0.870,-9.991
0.880,-10.003
0.890,-10.015
0.900,-10.027
0.910,-10.046
0.920,-10.067
0.930,-10.088
0.940,-10.107
0.950,-10.125
0.960,-10.143
0.970,-10.164
0.980,-10.218
0.990,-10.272
1.000,-10.326
1.010,-10.402
1.020,-10.486
1.030,-10.570
1.040,-10.658
1.050,-10.751
1.060,-10.844
1.070,-10.925
1.080,-10.862
1.090,-10.799
1.100,-10.736
1.110,-10.409
1.120,-9.989
1.130,-9.569
1.140,-9.274
1.150,-9.160
1.160,-9.046
1.170,-8.934
1.180,-8.856
1.190,-8.778
1.200,-8.700
1.210,-8.713
1.220,-8.758
1.230,-8.803
1.240,-8.906
1.250,-9.095
1.260,-9.284
1.270,-9.471
1.280,-9.621
1.290,-9.770
1.300,-9.920
1.310,-10.002
1.320,-10.059
1.330,-10.116
1.340,-10.148
1.350,-10.142
1.360,-10.136
1.370,-10.129
1.380,-10.117
1.390,-10.105
1.400,-10.093
1.410,-10.081
1.420,-10.069
1.430,-10.057
1.440,-10.049
1.450,-10.046
1.460,-10.043
1.470,-10.041
1.480,-10.059
1.490,-10.077
1.500,-10.095
1.510,-10.126
1.520,-10.162
1.530,-10.198
1.540,-10.255
1.550,-10.342
1.560,-10.429
1.570,-10.518
1.580,-10.647
1.590,-10.776
1.600,-10.905
1.610,-10.977
1.620,-11.028
1.630,-11.079
1.640,-10.920
1.650,-10.440
1.660,-9.961
1.670,-9.497
1.680,-9.278
1.690,-9.059
1.700,-8.840
1.710,-8.739
1.720,-8.682
1.730,-8.625
1.740,-8.610
1.750,-8.661
1.760,-8.712
1.770,-8.770
1.780,-8.938
1.790,-9.106
1.800,-9.274
1.810,-9.422
1.820,-9.563
1.830,-9.704
1.840,-9.820
1.850,-9.898
1.860,-9.976
1.870,-10.051
1.880,-10.063
1.890,-10.075
1.900,-10.087
1.910,-10.088
1.920,-10.085
1.930,-10.082
1.940,-10.077
1.950,-10.068
1.960,-10.059
1.970,-10.050
1.980,-10.047
1.990,-10.044
2.000,-10.041
2.010,-10.044
2.020,-10.050
2.030,-10.056
2.040,-10.063
2.050,-10.072
2.060,-10.081
2.070,-10.092
2.080,-10.125
2.090,-10.158
2.100,-10.191
2.110,-10.254
2.120,-10.329
2.130,-10.404
2.140,-10.486
2.150,-10.579
2.160,-10.672
2.170,-10.763
2.180,-10.820
2.190,-10.877
2.200,-10.934
2.210,-10.785
2.220,-10.554
2.230,-10.323
2.240,-10.075
2.250,-9.799
2.260,-9.523
2.270,-9.256
2.280,-9.172
2.290,-9.088
2.300,-9.004
2.310,-8.944
2.320,-8.893
2.330,-8.842
2.340,-8.857
2.350,-8.980
2.360,-9.103
2.370,-9.227
2.380,-9.377
2.390,-9.527
2.400,-9.677
2.410,-9.790
2.420,-9.889
2.430,-9.988
2.440,-10.057
