tiempo_s,aceleracion_z
0.000,-11.138
0.010,-11.146
0.020,-11.128
0.030,-11.110
0.040,-10.905
0.050,-10.456
0.060,-10.006
0.070,-9.567
0.080,-9.228
0.090,-8.889
0.100,-8.550
0.110,-8.415
0.120,-8.343
0.130,-8.271
0.140,-8.244
0.150,-8.277
0.160,-8.310
0.170,-8.370
0.180,-8.685
0.190,-9.000
0.200,-9.315
0.210,-9.564
0.220,-9.792
0.230,-10.020
0.240,-10.173
0.250,-10.227
0.260,-10.281
0.270,-10.330
0.280,-10.333
0.290,-10.336
0.300,-10.339
0.310,-10.329
0.320,-10.314
0.330,-10.299
0.340,-10.290
0.350,-10.290
0.360,-10.290
0.370,-10.290
0.380,-10.287
0.390,-10.284
0.400,-10.281
0.410,-10.282
0.420,-10.285
0.430,-10.288
0.440,-10.290
0.450,-10.290
0.460,-10.290
0.470,-10.292
0.480,-10.319
0.490,-10.346
0.500,-10.373
0.510,-10.439
0.520,-10.517
0.530,-10.595
0.540,-10.664
0.550,-10.721
0.560,-10.778
0.570,-10.828
0.580,-10.801
0.590,-10.774
0.600,-10.747
0.610,-10.505
0.620,-10.193
0.630,-9.881
0.640,-9.581
0.650,-9.296
0.660,-9.011
0.670,-8.743
0.680,-8.665
0.690,-8.587
0.700,-8.509
0.710,-8.465
0.720,-8.432
0.730,-8.399
0.740,-8.466
0.750,-8.673
0.760,-8.880
0.770,-9.086
0.780,-9.284
0.790,-9.482
0.800,-9.680
0.810,-9.795
0.820,-9.882
0.830,-9.969
0.840,-10.027
0.850,-10.045
0.860,-10.063
0.870,-10.080
0.880,-10.083
0.890,-10.086
0.900,-10.089
0.910,-10.099
0.920,-10.111
0.930,-10.123
0.940,-10.131
0.950,-10.134
0.960,-10.137
0.970,-10.140
0.980,-10.143
0.990,-10.146
1.000,-10.149
1.010,-10.146
1.020,-10.140
1.030,-10.134
1.040,-10.128
1.050,-10.122
1.060,-10.116
1.070,-10.110
1.080,-10.104
1.090,-10.098
1.100,-10.092
1.110,-10.123
1.120,-10.168
1.130,-10.213
1.140,-10.271
1.150,-10.345
1.160,-10.420
1.170,-10.499
1.180,-10.622
1.190,-10.745
1.200,-10.868
1.210,-10.916
1.220,-10.937
1.230,-10.957
1.240,-10.815
1.250,-10.431
1.260,-10.047
1.270,-9.675
1.280,-9.459
1.290,-9.243
1.300,-9.027
1.310,-8.855
1.320,-8.699
1.330,-8.543
1.340,-8.434
1.350,-8.395
1.360,-8.356
1.370,-8.331
1.380,-8.487
1.390,-8.643
1.400,-8.798
1.410,-8.990
1.420,-9.194
1.430,-9.398
1.440,-9.563
1.450,-9.671
1.460,-9.779
1.470,-9.883
1.480,-9.931
1.490,-9.979
1.500,-10.027
1.510,-10.049
1.520,-10.061
1.530,-10.073
1.540,-10.079
1.550,-10.076
1.560,-10.073
1.570,-10.070
1.580,-10.064
1.590,-10.058
1.600,-10.052
1.610,-10.048
1.620,-10.045
1.630,-10.042
1.640,-10.048
1.650,-10.069
1.660,-10.090
1.670,-10.111
1.680,-10.126
1.690,-10.141
1.700,-10.156
1.710,-10.215
1.720,-10.289
1.730,-10.364
1.740,-10.454
1.750,-10.565
1.760,-10.676
1.770,-10.788
1.780,-10.923
1.790,-11.058
1.800,-11.193
1.810,-11.124
1.820,-10.977
1.830,-10.830
1.840,-10.577
1.850,-10.160
1.860,-9.743
1.870,-9.335
1.880,-9.078
1.890,-8.820
1.900,-8.562
1.910,-8.477
1.920,-8.459
1.930,-8.441
1.940,-8.466
1.950,-8.559
1.960,-8.652
1.970,-8.753
1.980,-8.990
1.990,-9.227
2.000,-9.464
2.010,-9.649
2.020,-9.814
2.030,-9.979
2.040,-10.095
2.050,-10.134
2.060,-10.173
2.070,-10.210
2.080,-10.201
2.090,-10.192
2.100,-10.183
2.110,-10.167
2.120,-10.149
2.130,-10.131
2.140,-10.115
2.150,-10.103
2.160,-10.091
2.170,-10.080
2.180,-10.080
2.190,-10.080
2.200,-10.080
2.210,-10.101
2.220,-10.131
2.230,-10.161
2.240,-10.183
2.250,-10.192
2.260,-10.201
2.270,-10.214
2.280,-10.289
2.290,-10.363
2.300,-10.438
2.310,-10.546
2.320,-10.666
2.330,-10.785
2.340,-10.892
2.350,-10.976
2.360,-11.060
2.370,-11.139
2.380,-11.109
2.390,-11.079
2.400,-11.049
2.410,-10.759
2.420,-10.363
2.430,-9.967
2.440,-9.599
2.450,-9.278
2.460,-8.957
2.470,-8.648
2.480,-8.597
2.490,-8.546
2.500,-8.495
2.510,-8.491
2.520,-8.506
2.530,-8.521
2.540,-8.615
2.550,-8.843
2.560,-9.071
2.570,-9.297
2.580,-9.477
2.590,-9.657
2.600,-9.837
2.610,-9.934
2.620,-9.997
2.630,-10.060
2.640,-10.103
2.650,-10.112
2.660,-10.121
2.670,-10.130
2.680,-10.130
2.690,-10.130
2.700,-10.130
2.710,-10.124
2.720,-10.115
2.730,-10.106
2.740,-10.099
2.750,-10.096
2.760,-10.093
2.770,-10.091
2.780,-10.112
2.790,-10.133
2.800,-10.154
2.810,-10.175
2.820,-10.196
2.830,-10.217
2.840,-10.259
2.850,-10.337
2.860,-10.415
2.870,-10.493
2.880,-10.586
2.890,-10.679
2.900,-10.772
2.910,-10.863
2.920,-10.953
2.930,-11.043
2.940,-11.074
2.950,-11.002
2.960,-10.930
2.970,-10.849
2.980,-10.498
2.990,-10.147
3.000,-9.796
3.010,-9.519
3.020,-9.273
3.030,-9.027
3.040,-8.830
3.050,-8.719
3.060,-8.608
