timestamp_s,Aceleracion_Z, Comentario
0,9.892841,
1,9.844957,
2,9.895236,
3,9.821015,
4,9.892841,
5,9.840169,
6,9.892841,
7,9.854534,
8,9.866506,
9,9.849746,
10,9.911995,
11,9.813833,
12,9.840169,
13,9.868899,
14,9.878476,
15,9.928755,
16,9.883265,
17,9.921572,
18,9.871294,
19,9.880871,
20,9.856929,
21,9.868899,
22,9.811439,
23,9.947908,
24,9.842564,
25,9.902418,
26,9.900024,
27,9.828198,
28,9.904813,
29,9.890448,
30,9.78989,
31,9.409213,
32,9.883265,
33,10.29507,
34,10.24958,
35,9.186552,
36,1.821988,
37,16.3093,
38,10.28549,
39,9.478644,
40,10.80743,
41,9.26556,
42,9.414001,
43,10.08438,
44,9.797073,
45,9.169792,
46,9.938332,
47,9.959879,
48,9.701305,
49,9.938332,
50,12.90714,
51,7.912837,
52,6.663064,
53,10.42196,
54,9.375694,
55,7.788338,
56,8.62152,
57,9.624691,
58,10.28788,
59,11.0253,
60,9.840169,
61,10.92235,
62,11.50893,
63,9.696517,
64,9.289502,
65,8.987833,
66,10.66856,
67,9.085996,
68,9.028535,
69,9.677363,
70,9.387665,
71,9.67018,
72,10.00058,
73,10.42675,
74,10.34774,
75,8.714894,
76,10.29507,
77,9.411607,
78,9.619903,
79,10.05804,
80,10.18254,
81,10.4483,
82,10.37887,
83,9.488221,
84,10.47463,
85,9.629479,
86,10.25197,
87,11.19768,
88,10.29986,
89,10.08677,
90,10.1993,
91,10.38605,
92,9.088389,
93,7.524976,
94,8.714894,
95,10.16339,
96,11.315,
97,10.71166,
98,9.416395,
99,8.892065,
100,11.38682,
101,11.05642,
102,9.222465,
103,8.42759,
104,9.356541,
105,10.9032,
106,10.86489,
107,9.662998,
108,8.990228,
109,9.358934,
110,10.18972,
111,10.50097,
112,10.08677,
113,9.600749,
114,9.617508,
115,9.82341,
116,10.08438,
117,9.976639,
118,9.883265,
119,9.80665,
120,9.859323,
121,9.835381,
122,9.873688,
123,9.952697,
124,9.94312,
125,9.856929,
126,9.804255,
127,9.902418,
128,9.892841,
129,9.938332,
130,9.955091,
131,9.856929,
132,9.864111,
133,9.907207,
134,9.895236,
135,9.792285,
136,9.825804,
137,9.928755,
138,9.861717,
139,9.856929,
140,9.868899,
141,9.89763,
142,9.988609,
143,9.916783,
144,9.902418,
145,9.797073,
146,9.931149,
147,9.873688,
148,9.883265,
149,9.888053,
150,9.813833,
151,9.847352,
152,9.933543,
153,9.911995,
154,9.782708,
155,9.85214,
156,9.931149,
157,9.938332,
158,9.89763,
159,9.818622,
160,9.911995,
161,9.962274,
162,9.957485,
163,9.911995,
164,9.876082,
165,9.847352,
166,9.97185,
167,9.861717,
168,9.85214,
169,9.864111,
170,9.861717,
171,9.832987,
172,9.92636,
173,9.883265,
174,9.933543,
175,9.859323,
