indice,timestamp_s,Aceleración,cpm,prof_cm
0,0.00,7.891289,0.0,0.0
1,0.01,7.795521,0.0,0.0
2,0.02,8.054094,0.0,0.0
3,0.03,7.862558,0.0,0.0
4,0.04,7.060501,0.0,0.0
5,0.05,7.400477,0.0,0.0
6,0.06,6.200983,0.0,0.0
7,0.07,6.502652,0.0,0.0
8,0.08,6.361394,0.0,0.0
9,0.09,6.184223,0.0,0.0
10,0.10,8.039729,0.0,0.0
11,0.11,8.856153,0.0,0.0
12,0.12,11.37725,0.0,0.0
13,0.13,15.21036,0.0,0.0
14,0.14,13.92228,0.0,0.0
15,0.15,13.25191,0.0,0.0
16,0.16,13.22078,0.0,0.0
17,0.17,12.87841,0.0,0.0
18,0.18,12.32296,0.0,0.0
19,0.19,11.54245,0.0,0.0
20,0.20,11.7699,0.0,0.0
21,0.21,11.76511,0.0,0.0
22,0.22,10.35253,0.0,0.0
23,0.23,10.40041,0.0,0.0
24,0.24,8.315063,0.0,0.0
25,0.25,9.548077,0.0,0.0
26,0.26,9.765948,0.0,0.0
27,0.27,9.301474,0.0,0.0
28,0.28,9.524135,0.0,0.0
29,0.29,9.229648,0.0,0.0
30,0.30,8.611943,0.0,0.0
31,0.31,8.051701,0.0,0.0
32,0.32,7.31668,0.0,0.0
33,0.33,5.846641,0.0,0.0
34,0.34,6.67264,0.0,0.0
35,0.35,6.586449,0.0,0.0
36,0.36,8.286332,0.0,0.0
37,0.37,7.620744,0.0,0.0
38,0.38,8.039729,0.0,0.0
39,0.39,8.310274,0.0,0.0
40,0.40,8.154651,0.0,0.0
41,0.41,8.319851,0.0,0.0
42,0.42,7.833828,0.0,0.0
43,0.43,8.135497,0.0,0.0
44,0.44,7.702147,0.0,0.0
45,0.45,7.920019,0.0,0.0
46,0.46,7.33344,0.0,0.0
47,0.47,7.776367,0.0,0.0
48,0.48,7.264008,0.0,0.0
49,0.49,6.787562,0.0,0.0
50,0.50,6.402095,0.0,0.0
51,0.51,5.959168,0.0,0.0
52,0.52,5.664681,0.0,0.0
53,0.53,5.410896,0.0,0.0
54,0.54,6.739678,0.0,0.0
55,0.55,9.701305,0.0,0.0
56,0.56,10.59674,0.0,0.0
57,0.57,13.89834,0.0,0.0
58,0.58,12.93348,0.0,0.0
59,0.59,12.3469,0.0,0.0
60,0.60,16.55351,0.0,0.0
61,0.61,13.5033,0.0,0.0
62,0.62,9.952697,0.0,0.0
63,0.63,9.967062,0.0,0.0
64,0.64,11.90158,0.0,0.0
65,0.65,10.62068,0.0,0.0
66,0.66,11.88242,0.0,0.0
67,0.67,13.66371,0.0,0.0
68,0.68,12.51689,0.0,0.0
69,0.69,13.48654,0.0,0.0
70,0.70,12.45703,0.0,0.0
71,0.71,11.40119,0.0,0.0
72,0.72,11.69567,0.0,0.0
73,0.73,11.74595,0.0,0.0
74,0.74,10.97502,0.0,0.0
75,0.75,11.03488,0.0,0.0
76,0.76,7.917625,0.0,0.0
77,0.77,8.698134,0.0,0.0
78,0.78,8.777143,0.0,0.0
79,0.79,9.272743,0.0,0.0
80,0.80,8.779537,0.0,0.0
81,0.81,8.470686,0.0,0.0
82,0.82,8.494628,0.0,0.0
83,0.83,7.268796,0.0,0.0
84,0.84,7.69257,0.0,0.0
85,0.85,7.12275,0.0,0.0
86,0.86,6.823475,0.0,0.0
87,0.87,7.36217,0.0,0.0
88,0.88,7.522582,0.0,0.0
89,0.89,8.26239,0.0,0.0
90,0.90,7.687782,0.0,0.0
91,0.91,8.128315,0.0,0.0
92,0.92,7.989451,0.0,0.0
93,0.93,8.437167,0.0,0.0
94,0.94,7.742848,0.0,0.0
95,0.95,7.642292,0.0,0.0
96,0.96,7.548918,0.0,0.0
97,0.97,7.438785,0.0,0.0
98,0.98,7.431602,0.0,0.0
99,0.99,6.823475,0.0,0.0
100,1.00,5.784391,0.0,0.0
101,1.01,5.928043,0.0,0.0
102,1.02,7.680599,0.0,0.0
103,1.03,8.475474,0.0,0.0
104,1.04,9.708488,0.0,0.0
105,1.05,10.89122,0.0,0.0
106,1.06,12.29662,0.0,0.0
107,1.07,12.07396,0.0,0.0
108,1.08,12.90714,0.0,0.0
109,1.09,6.311116,0.0,0.0
110,1.10,6.256049,0.0,0.0
111,1.11,8.259995,0.0,0.0
112,1.12,10.56801,0.0,0.0
113,1.13,12.55998,0.0,0.0
114,1.14,13.19445,0.0,0.0
115,1.15,11.74595,0.0,0.0
116,1.16,12.73476,0.0,0.0
117,1.17,13.86722,0.0,0.0
118,1.18,12.39239,0.0,0.0
119,1.19,12.19606,0.0,0.0
120,1.20,11.69567,0.0,0.0
121,1.21,11.17853,0.0,0.0
122,1.22,11.73638,0.0,0.0
123,1.23,13.14896,0.0,0.0
124,1.24,10.85531,0.0,0.0
125,1.25,9.241618,0.0,0.0
126,1.26,9.404425,0.0,0.0
127,1.27,8.506598,0.0,0.0
128,1.28,8.813056,0.0,0.0
129,1.29,9.390059,0.0,0.0
130,1.30,9.514558,0.0,0.0
131,1.31,8.978256,0.0,0.0
132,1.32,8.544906,0.0,0.0
133,1.33,3.462016,0.0,0.0
134,1.34,8.042124,0.0,0.0
135,1.35,4.493917,0.0,0.0
136,1.36,7.685388,0.0,0.0
137,1.37,7.532158,0.0,0.0
138,1.38,7.94875,0.0,0.0
139,1.39,8.291121,0.0,0.0
140,1.40,8.090008,0.0,0.0
141,1.41,8.010999,0.0,0.0
142,1.42,7.728483,0.0,0.0
143,1.43,7.955932,0.0,0.0
144,1.44,7.905654,0.0,0.0
145,1.45,7.745243,0.0,0.0
146,1.46,7.821857,0.0,0.0
147,1.47,6.86657,0.0,0.0
148,1.48,7.000646,0.0,0.0
149,1.49,5.889736,0.0,0.0
150,1.50,5.231331,0.0,0.0
151,1.51,5.825093,0.0,0.0
152,1.52,7.539341,0.0,0.0
153,1.53,9.241618,0.0,0.0
154,1.54,11.64779,0.0,0.0
155,1.55,14.87278,0.0,0.0
156,1.56,11.74595,0.0,0.0
157,1.57,10.86489,0.0,0.0
158,1.58,10.52012,0.0,0.0
159,1.59,11.55921,0.0,0.0
160,1.60,10.55125,0.0,0.0
161,1.61,10.03649,0.0,0.0
162,1.62,8.820239,0.0,0.0
163,1.63,10.24718,0.0,0.0
164,1.64,9.576807,0.0,0.0
165,1.65,8.734048,0.0,0.0
166,1.66,9.129091,0.0,0.0
167,1.67,9.11712,0.0,0.0
168,1.68,10.24479,0.0,0.0
169,1.69,7.285556,0.0,0.0
170,1.70,8.300697,0.0,0.0
171,1.71,4.88896,0.0,0.0
172,1.72,7.690176,0.0,0.0
173,1.73,7.175423,0.0,0.0
174,1.74,7.94875,0.0,0.0
175,1.75,7.455544,0.0,0.0
176,1.76,7.967903,0.0,0.0
177,1.77,7.730877,0.0,0.0
178,1.78,8.573636,0.0,0.0
179,1.79,8.018182,0.0,0.0
180,1.80,8.286332,0.0,0.0
181,1.81,7.445967,0.0,0.0
182,1.82,8.001422,0.0,0.0
183,1.83,7.682993,0.0,0.0
184,1.84,6.907272,0.0,0.0
185,1.85,6.208165,0.0,0.0
186,1.86,5.990293,0.0,0.0
187,1.87,5.482722,0.0,0.0
188,1.88,4.932055,0.0,0.0
189,1.89,7.067683,0.0,0.0
190,1.90,7.220912,0.0,0.0
191,1.91,7.860164,0.0,0.0
192,1.92,11.83215,0.0,0.0
193,1.93,14.80814,0.0,0.0
194,1.94,12.95742,0.0,0.0
195,1.95,11.48977,0.0,0.0
196,1.96,14.39155,0.0,0.0
197,1.97,11.07558,0.0,0.0
198,1.98,11.90637,0.0,0.0
199,1.99,13.01967,0.0,0.0
200,2.00,13.60625,0.0,0.0
201,2.01,12.69166,0.0,0.0
202,2.02,12.41633,0.0,0.0
203,2.03,11.23599,0.0,0.0
204,2.04,12.63181,0.0,0.0
205,2.05,10.37408,0.0,0.0
206,2.06,10.00058,0.0,0.0
207,2.07,10.1586,0.0,0.0
208,2.08,9.258378,0.0,0.0
209,2.09,9.07163,0.0,0.0
210,2.10,10.47224,0.0,0.0
211,2.11,8.377312,0.0,0.0
212,2.12,9.818622,0.0,0.0
213,2.13,6.224925,0.0,0.0
214,2.14,8.655039,0.0,0.0
215,2.15,5.030218,0.0,0.0
216,2.16,6.646304,0.0,0.0
217,2.17,5.906496,0.0,0.0
218,2.18,7.884106,0.0,0.0
219,2.19,7.589619,0.0,0.0
220,2.20,7.467515,0.0,0.0
221,2.21,7.733272,0.0,0.0
222,2.22,8.329428,0.0,0.0
223,2.23,8.204929,0.0,0.0
224,2.24,8.001422,0.0,0.0
225,2.25,7.611167,0.0,0.0
226,2.26,7.290344,0.0,0.0
227,2.27,8.034941,0.0,0.0
228,2.28,6.840234,0.0,0.0
229,2.29,6.981492,0.0,0.0
230,2.30,6.739678,0.0,0.0
231,2.31,6.291962,0.0,0.0
232,2.32,5.238513,0.0,0.0
233,2.33,7.666234,0.0,0.0
234,2.34,7.726089,0.0,0.0
235,2.35,7.398083,0.0,0.0
236,2.36,7.208941,0.0,0.0
237,2.37,6.818686,0.0,0.0
238,2.38,7.465121,0.0,0.0
239,2.39,6.162675,0.0,0.0
240,2.40,6.241684,0.0,0.0
241,2.41,5.580884,0.0,0.0
242,2.42,5.664681,0.0,0.0
243,2.43,6.514623,0.0,0.0
244,2.44,9.399636,0.0,0.0
245,2.45,11.38204,0.0,0.0
246,2.46,13.57034,0.0,0.0
247,2.47,10.52012,0.0,0.0
248,2.48,12.7587,0.0,0.0
249,2.49,17.1784,0.0,0.0
250,2.50,12.45464,0.0,0.0
251,2.51,13.66132,0.0,0.0
252,2.52,11.69567,0.0,0.0
253,2.53,11.91834,0.0,0.0
254,2.54,11.67652,0.0,0.0
255,2.55,10.93192,0.0,0.0
256,2.56,10.36689,0.0,0.0
257,2.57,10.17057,0.0,0.0
258,2.58,9.255983,0.0,0.0
259,2.59,10.06522,0.0,0.0
260,2.60,9.660604,0.0,0.0
261,2.61,9.141062,0.0,0.0
262,2.62,10.09156,0.0,0.0
263,2.63,8.259995,0.0,0.0
264,2.64,8.652645,0.0,0.0
265,2.65,6.756437,0.0,0.0
266,2.66,7.975086,0.0,0.0
267,2.67,5.33907,0.0,0.0
268,2.68,8.401254,0.0,0.0
269,2.69,8.106767,0.0,0.0
270,2.70,7.855376,0.0,0.0
271,2.71,8.145074,0.0,0.0
272,2.72,7.867347,0.0,0.0
273,2.73,7.905654,0.0,0.0
274,2.74,7.730877,0.0,0.0
275,2.75,7.532158,0.0,0.0
276,2.76,7.706935,0.0,0.0
277,2.77,7.496245,0.0,0.0
278,2.78,7.156269,0.0,0.0
279,2.79,6.902483,0.0,0.0
280,2.80,6.59842,0.0,0.0
281,2.81,10.55604,0.0,0.0
282,2.82,9.176975,0.0,0.0
283,2.83,8.511387,0.0,0.0
284,2.84,9.543288,0.0,0.0
285,2.85,9.160215,0.0,0.0
286,2.86,10.79785,0.0,0.0
287,2.87,8.702923,0.0,0.0
288,2.88,9.102755,0.0,0.0
289,2.89,6.607996,0.0,0.0
290,2.90,7.426814,0.0,0.0
291,2.91,7.898471,0.0,0.0
292,2.92,5.051765,0.0,0.0
293,2.93,7.103596,0.0,0.0
294,2.94,7.40766,0.0,0.0
295,2.95,8.221688,0.0,0.0
296,2.96,8.164227,0.0,0.0
297,2.97,7.963115,0.0,0.0
298,2.98,8.037335,0.0,0.0
299,2.99,7.706935,0.0,0.0
300,3.00,7.781156,0.0,0.0
301,3.01,7.831434,0.0,0.0
302,3.02,7.637504,0.0,0.0
303,3.03,7.678205,0.0,0.0
304,3.04,7.280767,0.0,0.0
305,3.05,7.374141,0.0,0.0
306,3.06,2.674323,0.0,0.0
307,3.07,8.061277,0.0,0.0
308,3.08,6.794744,0.0,0.0
309,3.09,7.649475,0.0,0.0
310,3.10,7.651869,0.0,0.0
311,3.11,7.599196,0.0,0.0
312,3.12,7.958326,0.0,0.0
313,3.13,7.615956,0.0,0.0
314,3.14,7.216124,0.0,0.0
315,3.15,6.675035,0.0,0.0
316,3.16,6.639122,0.0,0.0
317,3.17,6.629545,0.0,0.0
318,3.18,6.409278,0.0,0.0
319,3.19,6.500257,0.0,0.0
320,3.20,6.337452,0.0,0.0
321,3.21,6.766014,0.0,0.0
322,3.22,7.163452,0.0,0.0
323,3.23,7.376535,0.0,0.0
324,3.24,10.69011,0.0,0.0
325,3.25,12.88559,0.0,0.0
326,3.26,11.59033,0.0,0.0
327,3.27,12.84968,0.0,0.0
328,3.28,14.6573,0.0,0.0
329,3.29,11.99256,0.0,0.0
330,3.30,14.37,0.0,0.0
331,3.31,11.61427,0.0,0.0
332,3.32,10.53449,0.0,0.0
