tiempo_s,aceleracion_z
0.000,-10.060
0.010,-10.065
0.020,-10.071
0.030,-10.077
0.040,-10.092
0.050,-10.119
0.060,-10.146
0.070,-10.174
0.080,-10.210
0.090,-10.246
0.100,-10.282
0.110,-10.343
0.120,-10.412
0.130,-10.481
0.140,-10.560
0.150,-10.653
0.160,-10.746
0.170,-10.824
0.180,-10.761
0.190,-10.698
0.200,-10.635
0.210,-10.421
0.220,-10.160
0.230,-9.899
0.240,-9.669
0.250,-9.480
0.260,-9.291
0.270,-9.114
0.280,-9.045
0.290,-8.976
0.300,-8.907
0.310,-8.863
0.320,-8.827
0.330,-8.791
0.340,-8.817
0.350,-8.928
0.360,-9.039
0.370,-9.151
0.380,-9.274
0.390,-9.397
0.400,-9.520
0.410,-9.607
0.420,-9.682
0.430,-9.757
0.440,-9.825
0.450,-9.885
0.460,-9.945
0.470,-10.001
0.480,-10.013
0.490,-10.025
0.500,-10.037
0.510,-10.045
0.520,-10.051
0.530,-10.057
0.540,-10.065
0.550,-10.077
0.560,-10.089
0.570,-10.102
0.580,-10.123
0.590,-10.144
0.600,-10.165
0.610,-10.179
0.620,-10.191
0.630,-10.203
0.640,-10.226
0.650,-10.265
0.660,-10.304
0.670,-10.347
0.680,-10.431
0.690,-10.515
0.700,-10.599
0.710,-10.636
0.720,-10.657
0.730,-10.678
0.740,-10.618
0.750,-10.444
0.760,-10.270
0.770,-10.092
0.780,-9.873
0.790,-9.654
0.800,-9.435
0.810,-9.270
0.820,-9.123
0.830,-8.976
0.840,-8.904
0.850,-8.937
0.860,-8.970
0.870,-9.002
0.880,-9.023
0.890,-9.044
0.900,-9.065
0.910,-9.159
0.920,-9.279
0.930,-9.399
0.940,-9.505
0.950,-9.589
0.960,-9.673
0.970,-9.754
0.980,-9.811
0.990,-9.868
1.000,-9.925
1.010,-9.953
1.020,-9.971
1.030,-9.989
1.040,-10.000
1.050,-10.000
1.060,-10.000
1.070,-10.001
1.080,-10.019
1.090,-10.037
1.100,-10.055
1.110,-10.067
1.120,-10.076
1.130,-10.085
1.140,-10.099
1.150,-10.120
1.160,-10.141
1.170,-10.162
1.180,-10.186
1.190,-10.210
1.200,-10.234
1.210,-10.295
1.220,-10.370
1.230,-10.445
1.240,-10.508
1.250,-10.553
1.260,-10.598
1.270,-10.640
1.280,-10.634
1.290,-10.628
1.300,-10.622
1.310,-10.404
1.320,-10.110
1.330,-9.816
1.340,-9.588
1.350,-9.459
1.360,-9.330
1.370,-9.204
1.380,-9.114
1.390,-9.024
1.400,-8.934
1.410,-8.892
1.420,-8.868
1.430,-8.844
1.440,-8.864
1.450,-8.948
1.460,-9.032
1.470,-9.118
1.480,-9.247
1.490,-9.376
1.500,-9.505
1.510,-9.601
1.520,-9.685
1.530,-9.769
1.540,-9.844
1.550,-9.904
1.560,-9.964
1.570,-10.021
1.580,-10.042
1.590,-10.063
1.600,-10.084
1.610,-10.105
1.620,-10.126
1.630,-10.147
1.640,-10.162
1.650,-10.168
1.660,-10.174
1.670,-10.180
1.680,-10.183
1.690,-10.186
1.700,-10.189
1.710,-10.207
1.720,-10.231
1.730,-10.255
1.740,-10.278
1.750,-10.299
1.760,-10.320
1.770,-10.343
1.780,-10.391
1.790,-10.439
1.800,-10.487
1.810,-10.507
1.820,-10.516
1.830,-10.525
1.840,-10.437
1.850,-10.201
1.860,-9.964
1.870,-9.731
1.880,-9.569
1.890,-9.407
1.900,-9.245
1.910,-9.120
1.920,-9.009
1.930,-8.898
1.940,-8.837
1.950,-8.855
1.960,-8.873
1.970,-8.894
1.980,-8.963
1.990,-9.032
2.000,-9.101
2.010,-9.206
2.020,-9.326
2.030,-9.446
2.040,-9.557
2.050,-9.653
2.060,-9.749
2.070,-9.843
2.080,-9.906
2.090,-9.969
2.100,-10.032
2.110,-10.054
2.120,-10.060
2.130,-10.066
2.140,-10.072
2.150,-10.078
2.160,-10.084
2.170,-10.090
2.180,-10.090
2.190,-10.090
2.200,-10.090
2.210,-10.096
2.220,-10.105
2.230,-10.114
2.240,-10.138
2.250,-10.186
2.260,-10.234
2.270,-10.282
2.280,-10.327
2.290,-10.372
2.300,-10.417
2.310,-10.460
2.320,-10.502
2.330,-10.544
2.340,-10.568
2.350,-10.562
2.360,-10.556
2.370,-10.539
2.380,-10.299
2.390,-10.059
2.400,-9.819
2.410,-9.678
2.420,-9.576
2.430,-9.474
2.440,-9.366
2.450,-9.249
2.460,-9.132
2.470,-9.021
2.480,-9.042
2.490,-9.063
2.500,-9.084
2.510,-9.092
2.520,-9.095
2.530,-9.098
2.540,-9.135
2.550,-9.228
2.560,-9.321
2.570,-9.413
2.580,-9.488
2.590,-9.563
2.600,-9.638
2.610,-9.696
2.620,-9.747
2.630,-9.798
2.640,-9.842
2.650,-9.875
2.660,-9.908
2.670,-9.941
2.680,-9.959
2.690,-9.977
2.700,-9.995
2.710,-10.013
2.720,-10.031
2.730,-10.049
2.740,-10.067
2.750,-10.085
2.760,-10.103
2.770,-10.121
2.780,-10.142
2.790,-10.163
2.800,-10.184
2.810,-10.213
2.820,-10.246
2.830,-10.279
2.840,-10.318
2.850,-10.366
2.860,-10.414
2.870,-10.462
2.880,-10.537
2.890,-10.612
2.900,-10.687
2.910,-10.687
2.920,-10.654
2.930,-10.621
2.940,-10.489
2.950,-10.187
2.960,-9.884
2.970,-9.584
2.980,-9.405
2.990,-9.225
3.000,-9.045
3.010,-8.948
3.020,-8.888
3.030,-8.828
3.040,-8.788
3.050,-8.782
3.060,-8.776
3.070,-8.773
3.080,-8.893
3.090,-9.013
3.100,-9.133
3.110,-9.260
3.120,-9.389
3.130,-9.517
3.140,-9.627
3.150,-9.702
3.160,-9.777
3.170,-9.852
3.180,-9.912
3.190,-9.972
3.200,-10.032
3.210,-10.052
3.220,-10.055
3.230,-10.058
3.240,-10.050
3.250,-10.023
3.260,-9.996
3.270,-9.970
3.280,-9.976
3.290,-9.982
3.300,-9.988
3.310,-9.998
3.320,-10.010
3.330,-10.022
3.340,-10.039
3.350,-10.063
3.360,-10.087
3.370,-10.112
3.380,-10.199
3.390,-10.286
3.400,-10.373
3.410,-10.429
3.420,-10.471
3.430,-10.513
3.440,-10.519
3.450,-10.459
3.460,-10.399
3.470,-10.336
3.480,-10.114
3.490,-9.892
3.500,-9.670
3.510,-9.522
3.520,-9.408
3.530,-9.294
3.540,-9.204
3.550,-9.159
3.560,-9.114
3.570,-9.070
3.580,-9.064
3.590,-9.058
3.600,-9.052
3.610,-9.087
3.620,-9.141
3.630,-9.195
3.640,-9.247
3.650,-9.295
3.660,-9.343
3.670,-9.391
3.680,-9.448
3.690,-9.505
3.700,-9.562
3.710,-9.613
3.720,-9.661
3.730,-9.709
3.740,-9.753
3.750,-9.792
3.760,-9.831
3.770,-9.870
3.780,-9.900
3.790,-9.930
3.800,-9.960
3.810,-9.984
3.820,-10.005
3.830,-10.026
3.840,-10.052
3.850,-10.088
3.860,-10.124
3.870,-10.160
3.880,-10.202
3.890,-10.244
3.900,-10.286
3.910,-10.338
3.920,-10.395
3.930,-10.452
3.940,-10.501
3.950,-10.534
3.960,-10.567
3.970,-10.600
3.980,-10.573
3.990,-10.546
4.000,-10.519
4.010,-10.353
4.020,-10.119
4.030,-9.885
4.040,-9.684
4.050,-9.549
4.060,-9.414
4.070,-9.279
4.080,-9.168
4.090,-9.057
4.100,-8.947
4.110,-8.946
4.120,-9.000
4.130,-9.054
4.140,-9.110
4.150,-9.170
4.160,-9.230
4.170,-9.290
4.180,-9.398
4.190,-9.506
4.200,-9.614
4.210,-9.698
4.220,-9.770
4.230,-9.842
4.240,-9.902
4.250,-9.938
4.260,-9.974
4.270,-10.010
4.280,-10.013
4.290,-10.016
4.300,-10.019
4.310,-10.020
4.320,-10.020
4.330,-10.020
4.340,-10.019
4.350,-10.016
4.360,-10.013
4.370,-10.010
4.380,-10.052
4.390,-10.094
4.400,-10.136
4.410,-10.186
4.420,-10.240
4.430,-10.294
4.440,-10.344
4.450,-10.386
4.460,-10.428
4.470,-10.470
4.480,-10.545
4.490,-10.620
4.500,-10.695
4.510,-10.718
4.520,-10.715
4.530,-10.712
4.540,-10.604
4.550,-10.280
4.560,-9.956
4.570,-9.632
4.580,-9.553
4.590,-9.475
4.600,-9.397
4.610,-9.309
4.620,-9.216
4.630,-9.123
4.640,-9.061
4.650,-9.064
4.660,-9.067
4.670,-9.070
4.680,-9.043
4.690,-9.016
4.700,-8.989
4.710,-9.031
4.720,-9.109
4.730,-9.187
4.740,-9.266
4.750,-9.347
4.760,-9.428
4.770,-9.509
4.780,-9.575
4.790,-9.641
4.800,-9.707
4.810,-9.767
4.820,-9.824
4.830,-9.881
4.840,-9.929
4.850,-9.956
4.860,-9.983
4.870,-10.010
4.880,-10.034
4.890,-10.058
4.900,-10.082
4.910,-10.100
4.920,-10.115
4.930,-10.130
4.940,-10.151
4.950,-10.187
4.960,-10.223
4.970,-10.259
4.980,-10.322
4.990,-10.385
5.000,-10.448
5.010,-10.499
5.020,-10.544
5.030,-10.589
5.040,-10.609
5.050,-10.573
5.060,-10.537
5.070,-10.501
5.080,-10.270
5.090,-10.036
5.100,-9.802
5.110,-9.646
5.120,-9.532
5.130,-9.418
5.140,-9.308
5.150,-9.206
5.160,-9.104
5.170,-9.002
5.180,-9.026
5.190,-9.053
5.200,-9.080
5.210,-9.117
5.220,-9.159
5.230,-9.201
5.240,-9.257
5.250,-9.344
5.260,-9.431
5.270,-9.518
5.280,-9.599
5.290,-9.680
5.300,-9.761
5.310,-9.813
5.320,-9.849
5.330,-9.885
5.340,-9.919
5.350,-9.949
5.360,-9.979
5.370,-10.009
5.380,-10.019
5.390,-10.028
5.400,-10.037
5.410,-10.052
5.420,-10.070
5.430,-10.088
5.440,-10.107
5.450,-10.131
5.460,-10.155
5.470,-10.179
5.480,-10.221
5.490,-10.263
5.500,-10.305
5.510,-10.345
5.520,-10.384
5.530,-10.423
5.540,-10.475
5.550,-10.556
5.560,-10.637
5.570,-10.718
5.580,-10.656
5.590,-10.590
5.600,-10.524
5.610,-10.336
5.620,-10.078
5.630,-9.820
5.640,-9.599
5.650,-9.464
5.660,-9.329
5.670,-9.194
5.680,-9.144
5.690,-9.096
5.700,-9.048
5.710,-9.005
5.720,-8.966
5.730,-8.927
5.740,-8.922
5.750,-8.997
5.760,-9.072
5.770,-9.147
5.780,-9.254
5.790,-9.362
5.800,-9.470
5.810,-9.565
5.820,-9.652
5.830,-9.739
5.840,-9.811
5.850,-9.847
5.860,-9.883
5.870,-9.919
5.880,-9.937
5.890,-9.955
5.900,-9.973
5.910,-9.984
5.920,-9.990
5.930,-9.996
5.940,-10.005
5.950,-10.023
5.960,-10.041
5.970,-10.059
5.980,-10.077
5.990,-10.095
6.000,-10.113
6.010,-10.141
6.020,-10.174
6.030,-10.207
6.040,-10.239
6.050,-10.269
6.060,-10.299
6.070,-10.329
6.080,-10.390
6.090,-10.453
6.100,-10.516
6.110,-10.534
6.120,-10.525
6.130,-10.516
6.140,-10.426
6.150,-10.135
6.160,-9.844
6.170,-9.553
6.180,-9.443
6.190,-9.341
6.200,-9.239
6.210,-9.155
6.220,-9.083
6.230,-9.011
6.240,-8.943
6.250,-8.883
6.260,-8.823
6.270,-8.763
6.280,-8.866
6.290,-8.977
6.300,-9.088
6.310,-9.208
6.320,-9.334
6.330,-9.460
6.340,-9.574
6.350,-9.658
6.360,-9.742
6.370,-9.826
6.380,-9.876
6.390,-9.924
6.400,-9.972
6.410,-10.003
6.420,-10.024
6.430,-10.045
6.440,-10.063
6.450,-10.072
6.460,-10.081
6.470,-10.090
6.480,-10.090
6.490,-10.090
6.500,-10.090
6.510,-10.096
6.520,-10.105
6.530,-10.114
6.540,-10.125
6.550,-10.143
6.560,-10.161
6.570,-10.179
6.580,-10.211
6.590,-10.244
6.600,-10.277
6.610,-10.332
6.620,-10.401
6.630,-10.470
6.640,-10.511
6.650,-10.478
6.660,-10.445
6.670,-10.412
6.680,-10.178
6.690,-9.932
6.700,-9.686
6.710,-9.520
6.720,-9.406
6.730,-9.293
6.740,-9.192
6.750,-9.126
6.760,-9.060
6.770,-8.994
6.780,-8.962
6.790,-8.932
6.800,-8.902
6.810,-8.939
6.820,-9.020
6.830,-9.101
6.840,-9.188
6.850,-9.290
6.860,-9.392
6.870,-9.494
6.880,-9.568
6.890,-9.640
6.900,-9.712
6.910,-9.769
6.920,-9.817
6.930,-9.865
6.940,-9.907
6.950,-9.934
6.960,-9.961
6.970,-9.988
6.980,-9.998
6.990,-10.007
7.000,-10.016
7.010,-10.025
7.020,-10.034
7.030,-10.043
7.040,-10.056
7.050,-10.077
7.060,-10.098
7.070,-10.119
7.080,-10.159
7.090,-10.201
7.100,-10.243
7.110,-10.298
7.120,-10.361
7.130,-10.424
7.140,-10.488
7.150,-10.557
7.160,-10.626
7.170,-10.695
7.180,-10.630
7.190,-10.555
7.200,-10.480
7.210,-10.303
7.220,-10.057
7.230,-9.811
7.240,-9.609
7.250,-9.531
7.260,-9.453
7.270,-9.375
7.280,-9.331
7.290,-9.289
7.300,-9.247
7.310,-9.232
7.320,-9.235
7.330,-9.238
7.340,-9.242
7.350,-9.251
7.360,-9.260
7.370,-9.269
7.380,-9.317
7.390,-9.368
7.400,-9.419
7.410,-9.468
7.420,-9.516
7.430,-9.564
7.440,-9.614
7.450,-9.668
7.460,-9.722
7.470,-9.776
7.480,-9.824
7.490,-9.872
7.500,-9.920
7.510,-9.952
7.520,-9.973
7.530,-9.994
7.540,-10.014
7.550,-10.029
7.560,-10.044
7.570,-10.059
7.580,-10.077
7.590,-10.095
7.600,-10.113
7.610,-10.131
7.620,-10.149
7.630,-10.167
7.640,-10.187
7.650,-10.214
7.660,-10.241
7.670,-10.268
7.680,-10.300
7.690,-10.333
7.700,-10.366
7.710,-10.413
7.720,-10.470
7.730,-10.527
7.740,-10.556
7.750,-10.499
7.760,-10.442
7.770,-10.385
7.780,-10.209
7.790,-10.023
7.800,-9.837
7.810,-9.665
7.820,-9.503
7.830,-9.341
7.840,-9.206
7.850,-9.149
7.860,-9.092
7.870,-9.035
7.880,-9.008
7.890,-8.984
7.900,-8.960
7.910,-9.008
7.920,-9.107
