tiempo_s,aceleracion_z
0.000,-9.982
0.010,-9.980
0.020,-9.980
0.030,-9.980
0.040,-9.984
0.050,-9.993
0.060,-10.002
0.070,-10.013
0.080,-10.043
0.090,-10.073
0.100,-10.103
0.110,-10.144
0.120,-10.189
0.130,-10.234
0.140,-10.287
0.150,-10.350
0.160,-10.413
0.170,-10.479
0.180,-10.575
0.190,-10.671
0.200,-10.767
0.210,-10.847
0.220,-10.922
0.230,-10.997
0.240,-10.955
0.250,-10.757
0.260,-10.559
0.270,-10.358
0.280,-10.124
0.290,-9.890
0.300,-9.656
0.310,-9.434
0.320,-9.215
0.330,-8.996
0.340,-8.841
0.350,-8.772
0.360,-8.703
0.370,-8.637
0.380,-8.601
0.390,-8.565
0.400,-8.529
0.410,-8.652
0.420,-8.826
0.430,-9.000
0.440,-9.158
0.450,-9.296
0.460,-9.434
0.470,-9.568
0.480,-9.661
0.490,-9.754
0.500,-9.847
0.510,-9.908
0.520,-9.959
0.530,-10.010
0.540,-10.037
0.550,-10.031
0.560,-10.025
0.570,-10.020
0.580,-10.023
0.590,-10.026
0.600,-10.029
0.610,-10.053
0.620,-10.083
0.630,-10.113
0.640,-10.143
0.650,-10.173
0.660,-10.203
0.670,-10.236
0.680,-10.305
0.690,-10.374
0.700,-10.443
0.710,-10.519
0.720,-10.596
0.730,-10.674
0.740,-10.757
0.750,-10.847
0.760,-10.937
0.770,-11.010
0.780,-10.887
0.790,-10.764
0.800,-10.641
0.810,-10.404
0.820,-10.128
0.830,-9.852
0.840,-9.599
0.850,-9.380
0.860,-9.162
0.870,-8.954
0.880,-8.882
0.890,-8.810
0.900,-8.738
0.910,-8.657
0.920,-8.573
0.930,-8.489
0.940,-8.520
0.950,-8.715
0.960,-8.910
0.970,-9.101
0.980,-9.245
0.990,-9.389
1.000,-9.533
1.010,-9.635
1.020,-9.722
1.030,-9.809
1.040,-9.878
1.050,-9.923
1.060,-9.968
1.070,-10.011
1.080,-10.023
1.090,-10.035
1.100,-10.047
1.110,-10.057
1.120,-10.066
1.130,-10.075
1.140,-10.078
1.150,-10.072
1.160,-10.066
1.170,-10.062
1.180,-10.092
1.190,-10.122
1.200,-10.152
1.210,-10.180
1.220,-10.207
1.230,-10.234
1.240,-10.260
1.250,-10.284
1.260,-10.308
1.270,-10.333
1.280,-10.375
1.290,-10.417
1.300,-10.459
1.310,-10.527
1.320,-10.605
1.330,-10.683
1.340,-10.678
1.350,-10.549
1.360,-10.420
1.370,-10.283
1.380,-10.041
1.390,-9.798
1.400,-9.555
1.410,-9.336
1.420,-9.126
1.430,-8.916
1.440,-8.774
1.450,-8.735
1.460,-8.696
1.470,-8.658
1.480,-8.634
1.490,-8.610
1.500,-8.586
1.510,-8.696
1.520,-8.855
1.530,-9.014
1.540,-9.161
1.550,-9.290
1.560,-9.419
1.570,-9.545
1.580,-9.629
1.590,-9.713
1.600,-9.797
1.610,-9.853
1.620,-9.898
1.630,-9.943
1.640,-9.977
1.650,-9.995
1.660,-10.013
1.670,-10.030
1.680,-10.036
1.690,-10.042
1.700,-10.048
1.710,-10.070
1.720,-10.097
1.730,-10.124
1.740,-10.155
1.750,-10.194
1.760,-10.233
1.770,-10.273
1.780,-10.330
1.790,-10.387
1.800,-10.444
1.810,-10.527
1.820,-10.620
1.830,-10.713
1.840,-10.788
1.850,-10.833
1.860,-10.878
1.870,-10.904
1.880,-10.622
1.890,-10.340
1.900,-10.058
1.910,-9.776
1.920,-9.494
1.930,-9.213
1.940,-8.967
1.950,-8.778
1.960,-8.589
1.970,-8.414
1.980,-8.492
1.990,-8.570
2.000,-8.648
2.010,-8.739
2.020,-8.835
2.030,-8.931
2.040,-9.061
2.050,-9.244
2.060,-9.426
2.070,-9.606
2.080,-9.714
2.090,-9.822
2.100,-9.930
2.110,-10.007
2.120,-10.073
2.130,-10.139
2.140,-10.181
2.150,-10.184
2.160,-10.187
2.170,-10.190
2.180,-10.187
2.190,-10.184
2.200,-10.181
2.210,-10.178
2.220,-10.175
2.230,-10.172
2.240,-10.178
2.250,-10.199
2.260,-10.220
2.270,-10.241
2.280,-10.262
2.290,-10.283
2.300,-10.304
2.310,-10.357
2.320,-10.423
2.330,-10.489
2.340,-10.592
2.350,-10.757
2.360,-10.922
2.370,-11.079
2.380,-11.046
2.390,-11.013
2.400,-10.980
2.410,-10.693
2.420,-10.303
2.430,-9.913
2.440,-9.584
2.450,-9.356
2.460,-9.128
2.470,-8.906
2.480,-8.822
2.490,-8.738
2.500,-8.655
2.510,-8.607
2.520,-8.574
2.530,-8.541
2.540,-8.582
2.550,-8.747
2.560,-8.912
2.570,-9.075
2.580,-9.210
2.590,-9.345
2.600,-9.480
2.610,-9.581
2.620,-9.668
2.630,-9.755
2.640,-9.832
2.650,-9.892
2.660,-9.952
2.670,-10.011
2.680,-10.047
2.690,-10.083
2.700,-10.119
2.710,-10.149
2.720,-10.176
2.730,-10.203
2.740,-10.220
2.750,-10.220
2.760,-10.220
2.770,-10.221
2.780,-10.239
2.790,-10.257
2.800,-10.275
2.810,-10.282
2.820,-10.285
2.830,-10.288
2.840,-10.307
2.850,-10.352
2.860,-10.396
2.870,-10.441
2.880,-10.486
2.890,-10.531
2.900,-10.576
2.910,-10.607
2.920,-10.631
2.930,-10.655
2.940,-10.584
2.950,-10.347
2.960,-10.110
2.970,-9.874
2.980,-9.685
2.990,-9.496
3.000,-9.307
3.010,-9.108
3.020,-8.904
3.030,-8.700
3.040,-8.587
3.050,-8.635
3.060,-8.683
3.070,-8.733
3.080,-8.826
3.090,-8.919
3.100,-9.012
3.110,-9.184
3.120,-9.391
3.130,-9.598
3.140,-9.765
3.150,-9.861
3.160,-9.957
3.170,-10.051
3.180,-10.084
3.190,-10.117
3.200,-10.150
3.210,-10.166
3.220,-10.175
3.230,-10.184
3.240,-10.189
3.250,-10.186
3.260,-10.183
3.270,-10.180
3.280,-10.165
3.290,-10.150
3.300,-10.135
3.310,-10.147
3.320,-10.171
3.330,-10.195
3.340,-10.214
3.350,-10.226
3.360,-10.238
3.370,-10.251
3.380,-10.284
3.390,-10.317
3.400,-10.350
3.410,-10.403
3.420,-10.466
3.430,-10.529
3.440,-10.599
3.450,-10.680
3.460,-10.761
3.470,-10.838
3.480,-10.748
3.490,-10.658
3.500,-10.568
3.510,-10.345
3.520,-10.060
3.530,-9.775
3.540,-9.521
3.550,-9.323
3.560,-9.125
3.570,-8.929
3.580,-8.875
3.590,-8.821
3.600,-8.767
3.610,-8.746
3.620,-8.740
3.630,-8.734
3.640,-8.773
3.650,-8.896
3.660,-9.019
3.670,-9.142
3.680,-9.262
3.690,-9.382
3.700,-9.502
3.710,-9.599
3.720,-9.686
3.730,-9.773
3.740,-9.849
3.750,-9.903
3.760,-9.957
3.770,-10.010
3.780,-10.013
3.790,-10.016
3.800,-10.019
3.810,-10.026
3.820,-10.035
3.830,-10.044
3.840,-10.054
3.850,-10.066
3.860,-10.078
3.870,-10.090
3.880,-10.108
3.890,-10.126
3.900,-10.144
3.910,-10.180
3.920,-10.225
3.930,-10.270
3.940,-10.330
3.950,-10.417
3.960,-10.504
3.970,-10.591
3.980,-10.705
3.990,-10.819
4.000,-10.933
4.010,-10.895
4.020,-10.784
4.030,-10.673
4.040,-10.496
4.050,-10.190
4.060,-9.884
4.070,-9.579
4.080,-9.357
4.090,-9.135
4.100,-8.913
4.110,-8.828
4.120,-8.810
4.130,-8.792
4.140,-8.788
4.150,-8.812
4.160,-8.836
4.170,-8.860
4.180,-9.010
4.190,-9.160
4.200,-9.310
4.210,-9.442
4.220,-9.565
4.230,-9.688
4.240,-9.793
4.250,-9.862
4.260,-9.931
4.270,-10.000
4.280,-10.003
4.290,-10.006
4.300,-10.009
4.310,-10.014
4.320,-10.020
4.330,-10.026
4.340,-10.033
4.350,-10.042
4.360,-10.051
4.370,-10.060
4.380,-10.075
4.390,-10.090
4.400,-10.105
4.410,-10.126
4.420,-10.150
4.430,-10.174
4.440,-10.202
4.450,-10.238
4.460,-10.274
4.470,-10.310
4.480,-10.394
4.490,-10.478
4.500,-10.562
4.510,-10.663
4.520,-10.774
4.530,-10.885
4.540,-10.942
4.550,-10.888
4.560,-10.834
4.570,-10.780
4.580,-10.449
4.590,-10.116
4.600,-9.783
4.610,-9.494
4.620,-9.227
4.630,-8.960
4.640,-8.761
4.650,-8.704
4.660,-8.647
4.670,-8.591
4.680,-8.593
4.690,-8.596
4.700,-8.599
4.710,-8.736
4.720,-8.943
4.730,-9.150
4.740,-9.337
4.750,-9.484
4.760,-9.631
4.770,-9.778
4.780,-9.836
4.790,-9.893
4.800,-9.950
4.810,-9.980
4.820,-9.995
4.830,-10.010
4.840,-10.020
4.850,-10.020
4.860,-10.020
4.870,-10.020
4.880,-10.020
4.890,-10.020
4.900,-10.020
4.910,-10.024
4.920,-10.030
4.930,-10.036
4.940,-10.044
4.950,-10.056
4.960,-10.068
4.970,-10.080
4.980,-10.115
4.990,-10.151
5.000,-10.187
5.010,-10.241
5.020,-10.304
5.030,-10.367
5.040,-10.447
5.050,-10.564
5.060,-10.681
5.070,-10.798
5.080,-10.806
5.090,-10.812
5.100,-10.818
5.110,-10.601
5.120,-10.262
5.130,-9.923
5.140,-9.616
5.150,-9.379
5.160,-9.142
5.170,-8.905
5.180,-8.768
5.190,-8.633
5.200,-8.498
5.210,-8.415
5.220,-8.361
5.230,-8.307
5.240,-8.331
5.250,-8.526
5.260,-8.721
5.270,-8.916
5.280,-9.105
5.290,-9.294
5.300,-9.483
5.310,-9.602
5.320,-9.683
5.330,-9.764
5.340,-9.832
5.350,-9.871
5.360,-9.910
5.370,-9.949
5.380,-9.956
5.390,-9.962
5.400,-9.968
5.410,-9.970
5.420,-9.970
5.430,-9.970
5.440,-9.972
5.450,-9.978
5.460,-9.984
5.470,-9.990
5.480,-10.013
5.490,-10.037
5.500,-10.061
5.510,-10.089
5.520,-10.119
5.530,-10.149
5.540,-10.192
5.550,-10.264
5.560,-10.336
5.570,-10.408
5.580,-10.573
5.590,-10.741
5.600,-10.909
5.610,-10.972
5.620,-10.975
5.630,-10.978
5.640,-10.867
5.650,-10.492
5.660,-10.117
5.670,-9.742
5.680,-9.533
5.690,-9.329
5.700,-9.125
5.710,-8.982
5.720,-8.874
5.730,-8.766
5.740,-8.705
5.750,-8.756
5.760,-8.807
5.770,-8.858
5.780,-8.906
5.790,-8.954
5.800,-9.002
5.810,-9.088
5.820,-9.196
5.830,-9.304
5.840,-9.405
5.850,-9.489
5.860,-9.573
5.870,-9.657
5.880,-9.724
5.890,-9.790
5.900,-9.856
5.910,-9.905
5.920,-9.944
5.930,-9.983
5.940,-10.018
5.950,-10.045
5.960,-10.072
5.970,-10.099
5.980,-10.103
5.990,-10.106
6.000,-10.109
6.010,-10.121
6.020,-10.139
6.030,-10.157
6.040,-10.177
6.050,-10.201
6.060,-10.225
6.070,-10.249
6.080,-10.290
6.090,-10.332
6.100,-10.374
6.110,-10.431
6.120,-10.497
6.130,-10.563
6.140,-10.640
6.150,-10.745
6.160,-10.850
6.170,-10.955
6.180,-10.860
6.190,-10.755
6.200,-10.650
6.210,-10.425
6.220,-10.128
6.230,-9.831
6.240,-9.557
6.250,-9.338
6.260,-9.119
6.270,-8.900
6.280,-8.873
6.290,-8.855
6.300,-8.837
6.310,-8.811
6.320,-8.781
6.330,-8.751
6.340,-8.770
