tiempo_s,aceleracion_z
0.000,-9.850
0.010,-9.845
0.020,-9.839
0.030,-9.833
0.040,-9.831
0.050,-9.834
0.060,-9.837
0.070,-9.840
0.080,-9.840
0.090,-9.840
0.100,-9.840
0.110,-9.842
0.120,-9.845
0.130,-9.848
0.140,-9.849
0.150,-9.846
0.160,-9.843
0.170,-9.840
0.180,-9.837
0.190,-9.834
0.200,-9.831
0.210,-9.832
0.220,-9.835
0.230,-9.838
0.240,-9.840
0.250,-9.840
0.260,-9.840
0.270,-9.840
0.280,-9.840
0.290,-9.840
0.300,-9.840
0.310,-9.842
0.320,-9.845
0.330,-9.848
0.340,-9.849
0.350,-9.846
0.360,-9.843
0.370,-9.840
0.380,-9.843
0.390,-9.846
0.400,-9.849
0.410,-9.850
0.420,-9.850
0.430,-9.850
0.440,-9.850
0.450,-9.850
0.460,-9.850
0.470,-9.850
0.480,-9.850
0.490,-9.850
0.500,-9.850
0.510,-9.848
0.520,-9.845
0.530,-9.842
0.540,-9.841
0.550,-9.844
0.560,-9.847
0.570,-9.850
0.580,-9.847
0.590,-9.844
0.600,-9.841
0.610,-9.838
0.620,-9.835
0.630,-9.832
0.640,-9.827
0.650,-9.821
0.660,-9.815
0.670,-9.809
0.680,-9.803
0.690,-9.797
0.700,-9.791
0.710,-9.792
0.720,-9.795
0.730,-9.798
0.740,-9.799
0.750,-9.796
0.760,-9.793
0.770,-9.790
0.780,-9.796
0.790,-9.802
0.800,-9.808
0.810,-9.808
0.820,-9.805
0.830,-9.802
0.840,-9.804
0.850,-9.813
0.860,-9.822
0.870,-9.830
0.880,-9.830
0.890,-9.830
0.900,-9.830
0.910,-9.832
0.920,-9.835
0.930,-9.838
0.940,-9.839
0.950,-9.836
0.960,-9.833
0.970,-9.830
0.980,-9.830
0.990,-9.830
1.000,-9.830
1.010,-9.830
1.020,-9.830
1.030,-9.830
1.040,-9.834
1.050,-9.843
1.060,-9.852
1.070,-9.860
1.080,-9.854
1.090,-9.848
1.100,-9.842
1.110,-9.844
1.120,-9.850
1.130,-9.856
1.140,-9.859
1.150,-9.856
1.160,-9.853
1.170,-9.850
1.180,-9.850
1.190,-9.850
1.200,-9.850
1.210,-9.852
1.220,-9.855
1.230,-9.858
1.240,-9.858
1.250,-9.852
1.260,-9.846
1.270,-9.840
1.280,-9.843
1.290,-9.846
1.300,-9.849
1.310,-9.850
1.320,-9.850
1.330,-9.850
1.340,-9.850
1.350,-9.850
1.360,-9.850
1.370,-9.850
1.380,-9.850
1.390,-9.850
1.400,-9.850
1.410,-9.850
1.420,-9.850
1.430,-9.850
1.440,-9.850
1.450,-9.850
1.460,-9.850
1.470,-9.850
1.480,-9.850
1.490,-9.850
1.500,-9.850
1.510,-9.850
1.520,-9.850
1.530,-9.850
1.540,-9.850
1.550,-9.850
1.560,-9.850
1.570,-9.850
1.580,-9.850
1.590,-9.850
1.600,-9.850
1.610,-9.850
1.620,-9.850
1.630,-9.850
1.640,-9.850
1.650,-9.850
1.660,-9.850
1.670,-9.850
1.680,-9.850
1.690,-9.850
1.700,-9.850
1.710,-9.850
1.720,-9.850
1.730,-9.850
1.740,-9.849
1.750,-9.846
1.760,-9.843
1.770,-9.840
1.780,-9.843
1.790,-9.846
1.800,-9.849
1.810,-9.850
1.820,-9.850
1.830,-9.850
1.840,-9.850
1.850,-9.850
1.860,-9.850
1.870,-9.850
1.880,-9.850
1.890,-9.850
1.900,-9.850
1.910,-9.850
1.920,-9.850
1.930,-9.850
1.940,-9.850
1.950,-9.850
1.960,-9.850
1.970,-9.850
1.980,-9.850
1.990,-9.850
2.000,-9.850
2.010,-9.850
2.020,-9.850
2.030,-9.850
2.040,-9.850
2.050,-9.850
2.060,-9.850
2.070,-9.850
2.080,-9.850
2.090,-9.850
2.100,-9.850
2.110,-9.850
2.120,-9.850
2.130,-9.850
2.140,-9.850
2.150,-9.850
2.160,-9.850
2.170,-9.850
2.180,-9.850
2.190,-9.850
2.200,-9.850
2.210,-9.850
2.220,-9.850
2.230,-9.850
2.240,-9.850
2.250,-9.850
2.260,-9.850
2.270,-9.850
2.280,-9.850
2.290,-9.850
2.300,-9.850
2.310,-9.850
2.320,-9.850
2.330,-9.850
2.340,-9.849
2.350,-9.846
2.360,-9.843
2.370,-9.840
2.380,-9.840
2.390,-9.840
2.400,-9.840
2.410,-9.842
2.420,-9.845
2.430,-9.848
2.440,-9.849
2.450,-9.846
2.460,-9.843
2.470,-9.840
2.480,-9.843
2.490,-9.846
2.500,-9.849
2.510,-9.850
2.520,-9.850
2.530,-9.850
2.540,-9.850
2.550,-9.850
2.560,-9.850
2.570,-9.850
2.580,-9.850
2.590,-9.850
2.600,-9.850
2.610,-9.850
2.620,-9.850
2.630,-9.850
2.640,-9.852
2.650,-9.858
2.660,-9.864
2.670,-9.870
2.680,-9.870
2.690,-9.870
2.700,-9.870
2.710,-9.864
2.720,-9.855
2.730,-9.846
2.740,-9.852
2.750,-9.885
2.760,-9.918
2.770,-9.949
2.780,-9.919
2.790,-9.889
2.800,-9.859
2.810,-9.856
2.820,-9.865
2.830,-9.874
2.840,-9.883
2.850,-9.892
2.860,-9.901
2.870,-9.910
2.880,-9.904
2.890,-9.898
2.900,-9.892
2.910,-9.861
2.920,-9.819
2.930,-9.777
2.940,-9.759
2.950,-9.783
2.960,-9.807
2.970,-9.831
2.980,-9.852
2.990,-9.873
3.000,-9.894
3.010,-9.892
3.020,-9.880
3.030,-9.868
3.040,-9.859
3.050,-9.856
3.060,-9.853
3.070,-9.850
3.080,-9.865
3.090,-9.880
3.100,-9.895
3.110,-9.890
3.120,-9.875
3.130,-9.860
3.140,-9.845
3.150,-9.830
3.160,-9.815
3.170,-9.801
3.180,-9.822
3.190,-9.843
3.200,-9.864
3.210,-9.874
3.220,-9.880
3.230,-9.886
3.240,-9.892
3.250,-9.898
3.260,-9.904
3.270,-9.910
3.280,-9.916
3.290,-9.922
3.300,-9.928
3.310,-9.944
3.320,-9.965
3.330,-9.986
3.340,-9.986
3.350,-9.947
3.360,-9.908
3.370,-9.870
3.380,-9.855
3.390,-9.840
3.400,-9.825
3.410,-9.826
