timestamp_s,Aceleracion_Z_modelo
0.0,-8.43464388959249
0.01,-8.720856252389792
0.02,-8.761724743586631
0.03,-8.916116951645686
0.04,-8.460149758082945
0.05,-8.789717855094201
0.06,-8.483157575698245
0.07,-8.47807093997005
0.08,-8.528235408745307
0.09,-8.591748288864505
0.1,-8.655149647404157
0.11,-8.685646294950947
0.12,-8.800705600659153
0.13,-8.749273836699182
0.14,-8.94005653728416
0.15,-8.80270521802797
0.16,-8.62266078534089
0.17,-8.66832365030914
0.18,-8.523734439597327
0.19,-8.794655250637478
0.2,-8.366582130361676
0.21,-8.383643463370333
0.22,-9.62825977278895
0.23,-9.986519925243792
0.24,-10.913871114128435
0.25,-11.960174721171226
0.26,-12.260725307084575
0.27,-12.660555361685068
0.28,-12.702187527329373
0.29,-12.75700441191079
0.3,-12.665643308608857
0.31,-12.093266536320522
0.32,-11.679360466319523
0.33,-10.880601824538486
0.34,-10.333852879431753
0.35,-9.499835205549736
0.36,-8.466645815456557
0.37,-8.195137993195342
0.38,-8.661285207174586
0.39,-8.305428284122867
0.4,-8.313903732131315
0.41,-8.725075298356908
0.42,-8.893616017003971
0.43,-8.507428928922227
0.44,-8.89902927341954
0.45,-8.731671490931246
0.46,-8.751040840100174
0.47,-8.606086700979453
0.48,-8.382081276954695
0.49,-8.703362725129711
0.5,-8.66187169675605
0.51,-8.556933763654841
0.52,-8.740434136132746
0.53,-8.538754309270157
0.54,-8.75060786496812
0.55,-8.600821418674371
0.56,-8.455397455135923
0.57,-8.89066426053104
0.58,-8.781670326017283
0.59,-8.555182268760419
0.6,-8.849790741775838
0.61,-8.528185633693592
0.62,-8.352599089462737
0.63,-8.672105448113571
0.64,-8.39902669662436
0.65,-8.450935159771314
0.66,-8.497645776137018
0.67,-8.635774806003758
0.68,-8.561701537741877
0.69,-8.994121745073697
0.7,-8.53879893534717
0.71,-8.68630572258519
0.72,-9.050124960143307
0.73,-8.47915737377107
0.74,-8.632627756160627
0.75,-8.584796347603248
0.76,-8.748010374180579
0.77,-9.02860755430824
0.78,-10.027036966302942
0.79,-10.627568815137714
0.8,-11.47070716023815
0.81,-11.613371449084594
0.82,-12.6272327357019
0.83,-12.354029941510579
0.84,-12.954282384606687
0.85,-12.734923647246234
0.86,-12.043863895463682
0.87,-11.727327524298294
0.88,-11.32240949578845
0.89,-10.590512404896161
0.9,-9.85323501931888
0.91,-9.541119648370552
0.92,-8.51819705280645
0.93,-8.998962055672898
