timestamp_s,Aceleracion_Z_modelo
0.0,-8.900268705673087
0.01,-7.820023125732137
0.02,-6.7053204785813545
0.03,-6.2896226193807765
0.04,-5.580212877673906
0.05,-5.427957011693795
0.06,-5.0446393273481025
0.07,-4.704257496582104
0.08,-4.479293958192706
0.09,-4.641154307615584
0.1,-5.174141833455064
0.11,-5.28567628907553
0.12,-6.53613330582536
0.13,-7.210677886373394
0.14,-8.121763537406382
0.15,-8.819241228960928
0.16,-8.884608172289424
0.17,-8.397514803655392
0.18,-8.26347584611774
0.19,-8.866623016853977
0.2,-8.227120574869335
0.21,-8.568171405433816
0.22,-8.714565575356483
0.23,-8.55703369838685
0.24,-8.626140843925562
0.25,-8.456359669902373
0.26,-8.73147207486596
0.27,-8.861663104888349
0.28,-8.348010489622155
0.29,-8.738622864986713
0.3,-9.069496169435181
0.31,-8.490803468359376
0.32,-8.46822320618888
0.33,-8.84870717880325
0.34,-9.086666052550644
0.35,-8.578543178919851
0.36,-9.400722167107672
0.37,-8.687756719944064
0.38,-8.579763310049819
0.39,-8.62892762920803
0.4,-8.81637034429931
0.41,-8.384016950082684
0.42,-8.746270630019566
0.43,-8.722006602028015
0.44,-8.16449562834266
0.45,-7.6367293570848025
0.46,-6.554885848533438
0.47,-5.861840534933331
0.48,-5.076457579122483
0.49,-4.779007931842611
0.5,-4.756665325823046
0.51,-4.738358718564213
0.52,-4.824599715218792
0.53,-5.178815633660033
0.54,-5.282640191491234
0.55,-5.861051701640785
0.56,-6.926304238959109
0.57,-7.7132844294672696
0.58,-8.230524327121632
0.59,-8.888188173593887
0.6,-8.871316006953782
0.61,-8.319076384697166
0.62,-8.977646611532316
0.63,-8.416871778461829
0.64,-8.44089274955006
0.65,-8.644757210309686
0.66,-8.407450982111973
0.67,-8.688141893069794
0.68,-8.462611334491376
0.69,-8.664231303124089
0.7,-8.760563434475182
0.71,-8.588070421461786
0.72,-8.625474511594735
0.73,-8.736600765493526
0.74,-9.029091233524518
0.75,-9.069435152207491
0.76,-8.982768282352355
0.77,-8.797689224367408
0.78,-8.658260121275735
0.79,-8.408618526017724
0.8,-8.336702992824044
0.81,-8.655524799645729
0.82,-8.609499155717247
0.83,-8.564111418459674
0.84,-8.478669511506565
0.85,-8.655959091985961
0.86,-8.289496865976322
0.87,-8.445678954442009
0.88,-7.236537149274172
0.89,-6.876286932143759
0.9,-5.7443371368384515
0.91,-5.944330793803516
0.92,-5.224940839102767
0.93,-4.955775081484962
0.94,-4.53272829927929
0.95,-4.595907079034226
0.96,-5.034078322177979
0.97,-5.213806544795773
0.98,-5.402777581922902
0.99,-6.338625082397506
1.0,-7.188820395292701
1.01,-8.201065578561774
1.02,-8.333353342945069
1.03,-8.646358369295392
1.04,-8.591530392856136
1.05,-8.461689905707635
1.06,-8.794171060189225
1.07,-8.460017205711482
1.08,-8.46675519027133
1.09,-8.136101465744275
1.1,-8.789845755125203
1.11,-8.665055617652866
1.12,-9.036735239640056
1.13,-8.955646082630418
1.14,-8.467403334491605
