timestamp_s,Aceleracion_Z_modelo
0.0,-4.823171643344287
0.01,-4.669367275038406
0.02,-4.59665095438834
0.03,-4.606502975985974
0.04,-4.698722781082461
0.05,-4.871433040385995
0.06,-5.121117871072416
0.07,-5.442694410020543
0.08,-5.829616286247548
0.09,-6.274006886144003
0.1,-6.766819698612684
0.11,-7.298022475946519
0.12,-7.856801461461307
0.13,-8.431781526397497
0.14,-8.652645
0.15,-8.652645
0.16,-8.652645
0.17,-8.652645
0.18,-8.652645
0.19,-8.652645
0.2,-8.652645
0.21,-8.652645
0.22,-8.652645
0.23,-8.652645
0.24,-8.652645
0.25,-8.652645
0.26,-8.652645
0.27,-8.652645
0.28,-8.652645
0.29,-8.652645
0.3,-8.652645
0.31,-8.652645
0.32,-8.652645
0.33,-8.652645
0.34,-8.652645
0.35,-8.652645
0.36,-8.652645
0.37,-8.652645
0.38,-8.652645
0.39,-8.652645
0.4,-8.0745616999894
0.41,-7.508246508912444
0.42,-6.965227970941299
0.43,-6.456560377572911
0.44,-5.99259873413205
0.45,-5.5827879617242795
0.46,-5.2354706258791435
0.47,-4.957717105973961
0.48,-4.755181662698991
0.49,-4.631987333615326
0.5,-4.590642
0.51,-4.631987333615325
0.52,-4.755181662698991
0.53,-4.957717105973961
0.54,-5.2354706258791435
0.55,-5.5827879617242795
0.56,-5.99259873413205
0.57,-6.456560377572906
0.58,-6.965227970941296
0.59,-7.508246508912439
0.6,-8.074561699989399
0.61,-8.652644999999998
0.62,-8.652645
0.63,-8.652645
0.64,-8.652645
0.65,-8.652645
0.66,-8.652645
0.67,-8.652645
0.68,-8.652645
0.69,-8.652645
0.7,-8.652645
0.71,-8.652645
0.72,-8.652645
0.73,-8.652645
0.74,-8.652645
0.75,-8.652645
0.76,-8.652645
0.77,-8.652645
0.78,-8.652645
0.79,-8.652645
0.8,-8.652645
0.81,-8.652645
0.82,-8.652645
0.83,-8.652645
0.84,-8.652645
0.85,-8.652645
0.86,-8.652645
0.87,-8.431781526397499
0.88,-7.85680146146131
0.89,-7.298022475946522
0.9,-6.766819698612685
0.91,-6.274006886144004
0.92,-5.829616286247548
0.93,-5.442694410020541
0.94,-5.1211178710724194
0.95,-4.8714330403859964
0.96,-4.698722781082461
0.97,-4.606502975985974
0.98,-4.59665095438834
0.99,-4.669367275038406
1.0,-4.823171643344286
1.01,-5.054933045902445
1.02,-5.359933488901496
1.03,-5.731964042870621
1.04,-6.163451238578537
1.05,-6.6456112410269474
1.06,-7.168628663000632
1.07,-7.721856378045906
1.08,-8.29403226526143
1.09,-8.652645
1.1,-8.652645
1.11,-8.652645
1.12,-8.652645
1.13,-8.652645
1.14,-8.652645
1.15,-8.652645
1.16,-8.652645
1.17,-8.652645
1.18,-8.652645
1.19,-8.652645
1.2,-8.652645
1.21,-8.652645
1.22,-8.652645
1.23,-8.652645
1.24,-8.652645
1.25,-8.652645
1.26,-8.652645
1.27,-8.652645
1.28,-8.652645
1.29,-8.652645
1.3,-8.652645
1.31,-8.652645
1.32,-8.652645
1.33,-8.652645
1.34,-8.652645
1.35,-8.211571503094723
1.36,-7.641395818694632
1.37,-7.091806251424094
1.38,-6.57399085998731
1.39,-6.098490872497633
1.4,-5.674986097471637
1.41,-5.312097870841914
1.42,-5.017213550419443
1.43,-4.796336130591843
1.44,-4.6539620386689435
1.45,-4.592989600589302
1.46,-4.614660039362236
1.47,-4.7185322073467155
1.48,-4.902491566745163
1.49,-5.162793235495229
1.5,-5.494138222269164
1.51,-5.889781298656318
1.52,-6.341668312561829
1.53,-6.8406001475171605
1.54,-7.376419990163174
1.55,-7.938220093680476
1.56,-8.514563828059115
1.57,-8.652645
1.58,-8.652645
1.59,-8.652645
1.6,-8.652645
1.61,-8.652645
1.62,-8.652645
1.63,-8.652645
1.64,-8.652645
1.65,-8.652645
1.66,-8.652645
1.67,-8.652645
1.68,-8.652645
1.69,-8.652645
1.7,-8.652645
1.71,-8.652645
1.72,-8.652645
1.73,-8.652645
1.74,-8.652645
1.75,-8.652645
1.76,-8.652645
1.77,-8.652645
1.78,-8.652645
1.79,-8.652645
1.8,-8.652645
1.81,-8.652645
1.82,-8.569786079920485
1.83,-7.992666447082634
1.84,-7.428982074361172
1.85,-6.890207950053259
1.86,-6.387311961633484
1.87,-5.930531621193845
1.88,-5.529165659219942
1.89,-5.191384729253691
1.9,-4.924065076949477
1.91,-4.732648559541965
1.92,-4.621031865325938
1.93,-4.591487188319658
1.94,-4.644615972947163
1.95,-4.779336670364204
1.96,-4.992906755673767
1.97,-5.280978557824238
1.98,-5.6376877656542845
1.99,-6.055772808356927
2.0,-6.5267226801204075
2.01,-7.040950199662921
2.02,-7.5879871775963155
2.03,-8.156697518574198
2.04,-8.652645
2.05,-8.652645
2.06,-8.652645
2.07,-8.652645
2.08,-8.652645
2.09,-8.652645
2.1,-8.652645
2.11,-8.652645
