tiempo_s,aceleracion_z
0.000,-10.739
0.010,-10.840
0.020,-10.945
0.030,-11.050
0.040,-11.050
0.050,-10.912
0.060,-10.774
0.070,-10.617
0.080,-10.278
0.090,-9.939
0.100,-9.600
0.110,-9.431
0.120,-9.314
0.130,-9.197
0.140,-9.108
0.150,-9.057
0.160,-9.006
0.170,-8.958
0.180,-8.940
0.190,-8.922
0.200,-8.904
0.210,-8.882
0.220,-8.858
0.230,-8.834
0.240,-8.846
0.250,-8.906
0.260,-8.966
0.270,-9.032
0.280,-9.154
0.290,-9.277
0.300,-9.400
0.310,-9.523
0.320,-9.646
0.330,-9.769
0.340,-9.860
0.350,-9.908
0.360,-9.956
0.370,-10.003
0.380,-10.033
0.390,-10.063
0.400,-10.093
0.410,-10.109
0.420,-10.121
0.430,-10.133
0.440,-10.149
0.450,-10.170
0.460,-10.191
0.470,-10.214
0.480,-10.256
0.490,-10.298
0.500,-10.340
0.510,-10.373
0.520,-10.403
0.530,-10.433
0.540,-10.489
0.550,-10.582
0.560,-10.675
0.570,-10.767
0.580,-10.841
0.590,-10.916
0.600,-10.991
0.610,-10.915
0.620,-10.789
0.630,-10.663
0.640,-10.444
0.650,-10.096
0.660,-9.749
0.670,-9.423
0.680,-9.339
0.690,-9.255
0.700,-9.171
0.710,-9.105
0.720,-9.045
0.730,-8.985
0.740,-8.915
0.750,-8.831
0.760,-8.747
0.770,-8.675
0.780,-8.735
0.790,-8.795
0.800,-8.855
0.810,-8.991
0.820,-9.153
0.830,-9.315
0.840,-9.473
0.850,-9.626
0.860,-9.779
0.870,-9.925
0.880,-9.985
0.890,-10.045
0.900,-10.105
0.910,-10.124
0.920,-10.130
0.930,-10.136
0.940,-10.145
0.950,-10.157
0.960,-10.169
0.970,-10.181
0.980,-10.196
0.990,-10.211
1.000,-10.226
1.010,-10.252
1.020,-10.282
1.030,-10.312
1.040,-10.353
1.050,-10.410
1.060,-10.467
1.070,-10.526
1.080,-10.601
1.090,-10.676
1.100,-10.751
1.110,-10.823
1.120,-10.895
1.130,-10.967
1.140,-10.950
1.150,-10.803
1.160,-10.656
1.170,-10.496
1.180,-10.160
1.190,-9.824
1.200,-9.488
1.210,-9.342
1.220,-9.264
1.230,-9.186
1.240,-9.121
1.250,-9.073
1.260,-9.025
1.270,-8.974
1.280,-8.890
1.290,-8.806
1.300,-8.722
1.310,-8.746
1.320,-8.809
1.330,-8.872
1.340,-8.956
1.350,-9.070
1.360,-9.184
1.370,-9.299
1.380,-9.425
1.390,-9.551
1.400,-9.676
1.410,-9.769
1.420,-9.850
1.430,-9.931
1.440,-9.990
1.450,-10.014
1.460,-10.038
1.470,-10.061
1.480,-10.079
1.490,-10.097
1.500,-10.115
1.510,-10.138
1.520,-10.162
1.530,-10.186
1.540,-10.213
1.550,-10.246
1.560,-10.279
1.570,-10.313
1.580,-10.358
1.590,-10.403
1.600,-10.448
1.610,-10.482
1.620,-10.512
1.630,-10.542
1.640,-10.597
1.650,-10.690
1.660,-10.783
1.670,-10.866
1.680,-10.794
1.690,-10.722
1.700,-10.650
1.710,-10.486
1.720,-10.288
1.730,-10.090
1.740,-9.900
1.750,-9.724
1.760,-9.547
1.770,-9.375
1.780,-9.285
1.790,-9.195
1.800,-9.105
1.810,-9.034
1.820,-8.971
1.830,-8.908
1.840,-8.854
1.850,-8.812
1.860,-8.770
1.870,-8.738
1.880,-8.879
1.890,-9.020
1.900,-9.161
1.910,-9.330
1.920,-9.510
1.930,-9.690
1.940,-9.837
1.950,-9.933
1.960,-10.029
1.970,-10.121
1.980,-10.139
1.990,-10.157
2.000,-10.175
2.010,-10.189
2.020,-10.201
2.030,-10.213
2.040,-10.223
2.050,-10.232
2.060,-10.241
2.070,-10.252
2.080,-10.288
2.090,-10.324
2.100,-10.360
2.110,-10.404
2.120,-10.452
2.130,-10.500
2.140,-10.559
2.150,-10.634
2.160,-10.709
2.170,-10.784
2.180,-10.865
2.190,-10.946
2.200,-11.027
2.210,-10.988
2.220,-10.901
2.230,-10.814
2.240,-10.651
2.250,-10.366
2.260,-10.082
2.270,-9.802
2.280,-9.622
2.290,-9.442
2.300,-9.262
2.310,-9.161
2.320,-9.092
2.330,-9.023
2.340,-8.960
2.350,-8.906
2.360,-8.852
2.370,-8.800
2.380,-8.800
2.390,-8.800
2.400,-8.800
2.410,-8.894
2.420,-9.026
2.430,-9.158
2.440,-9.294
2.450,-9.438
2.460,-9.582
2.470,-9.724
2.480,-9.817
2.490,-9.910
2.500,-10.003
2.510,-10.055
2.520,-10.091
2.530,-10.127
2.540,-10.158
2.550,-10.179
2.560,-10.200
2.570,-10.220
2.580,-10.223
2.590,-10.226
2.600,-10.229
2.610,-10.234
2.620,-10.240
2.630,-10.246
2.640,-10.268
2.650,-10.316
2.660,-10.364
2.670,-10.412
2.680,-10.478
2.690,-10.544
2.700,-10.610
2.710,-10.704
2.720,-10.809
2.730,-10.914
2.740,-10.947
2.750,-10.857
2.760,-10.767
2.770,-10.671
2.780,-10.422
2.790,-10.173
2.800,-9.924
2.810,-9.717
2.820,-9.529
2.830,-9.340
2.840,-9.197
2.850,-9.134
2.860,-9.071
2.870,-9.006
2.880,-8.889
2.890,-8.772
2.900,-8.655
2.910,-8.641
2.920,-8.671
2.930,-8.701
2.940,-8.782
2.950,-8.953
2.960,-9.124
2.970,-9.295
2.980,-9.457
2.990,-9.619
3.000,-9.781
3.010,-9.878
3.020,-9.947
3.030,-10.016
3.040,-10.067
3.050,-10.085
3.060,-10.103
3.070,-10.121
3.080,-10.142
3.090,-10.163
3.100,-10.184
3.110,-10.205
3.120,-10.226
3.130,-10.247
3.140,-10.272
3.150,-10.305
3.160,-10.338
3.170,-10.371
3.180,-10.416
3.190,-10.461
3.200,-10.506
3.210,-10.559
3.220,-10.616
3.230,-10.673
3.240,-10.709
3.250,-10.706
3.260,-10.703
3.270,-10.698
3.280,-10.593
3.290,-10.488
3.300,-10.383
3.310,-10.226
3.320,-10.046
3.330,-9.866
3.340,-9.698
3.350,-9.551
3.360,-9.404
3.370,-9.259
3.380,-9.226
3.390,-9.193
3.400,-9.160
3.410,-9.101
3.420,-9.029
3.430,-8.957
3.440,-8.896
3.450,-8.857
3.460,-8.818
3.470,-8.782
3.480,-8.893
3.490,-9.004
3.500,-9.115
3.510,-9.240
3.520,-9.372
3.530,-9.504
3.540,-9.624
3.550,-9.720
3.560,-9.816
3.570,-9.911
3.580,-9.962
3.590,-10.013
3.600,-10.064
3.610,-10.090
3.620,-10.105
3.630,-10.120
3.640,-10.137
3.650,-10.158
3.660,-10.179
3.670,-10.200
3.680,-10.221
3.690,-10.242
3.700,-10.263
3.710,-10.299
3.720,-10.341
3.730,-10.383
3.740,-10.414
3.750,-10.426
3.760,-10.438
3.770,-10.451
3.780,-10.505
3.790,-10.559
3.800,-10.613
3.810,-10.663
3.820,-10.711
3.830,-10.759
3.840,-10.746
3.850,-10.617
3.860,-10.488
3.870,-10.358
3.880,-10.103
3.890,-9.848
3.900,-9.593
3.910,-9.417
3.920,-9.279
3.930,-9.141
3.940,-9.034
3.950,-8.986
3.960,-8.938
3.970,-8.889
3.980,-8.808
3.990,-8.727
4.000,-8.646
4.010,-8.652
4.020,-8.700
4.030,-8.748
4.040,-8.842
4.050,-9.025
4.060,-9.208
4.070,-9.391
4.080,-9.520
4.090,-9.649
4.100,-9.778
4.110,-9.850
4.120,-9.895
4.130,-9.940
4.140,-9.979
4.150,-10.006
4.160,-10.033
4.170,-10.060
4.180,-10.087
4.190,-10.114
4.200,-10.141
4.210,-10.166
4.220,-10.190
4.230,-10.214
4.240,-10.241
4.250,-10.274
4.260,-10.307
4.270,-10.340
4.280,-10.370
4.290,-10.400
4.300,-10.430
4.310,-10.518
4.320,-10.635
4.330,-10.752
4.340,-10.822
4.350,-10.798
4.360,-10.774
4.370,-10.750
4.380,-10.618
4.390,-10.486
4.400,-10.354
4.410,-10.125
4.420,-9.846
4.430,-9.567
4.440,-9.361
4.450,-9.304
4.460,-9.247
4.470,-9.190
4.480,-9.133
4.490,-9.076
4.500,-9.019
4.510,-8.948
4.520,-8.870
4.530,-8.792
4.540,-8.767
4.550,-8.851
4.560,-8.935
4.570,-9.019
4.580,-9.130
4.590,-9.241
4.600,-9.352
4.610,-9.469
4.620,-9.589
4.630,-9.709
4.640,-9.812
4.650,-9.881
4.660,-9.950
4.670,-10.019
4.680,-10.044
4.690,-10.068
4.700,-10.092
4.710,-10.106
4.720,-10.115
4.730,-10.124
4.740,-10.134
4.750,-10.146
4.760,-10.158
4.770,-10.170
4.780,-10.194
4.790,-10.218
4.800,-10.242
4.810,-10.289
4.820,-10.349
4.830,-10.409
4.840,-10.480
4.850,-10.573
4.860,-10.666
4.870,-10.759
4.880,-10.861
4.890,-10.963
4.900,-11.065
4.910,-11.004
4.920,-10.857
4.930,-10.710
4.940,-10.495
4.950,-10.132
4.960,-9.769
4.970,-9.406
4.980,-9.273
4.990,-9.144
5.000,-9.015
5.010,-8.943
5.020,-8.901
5.030,-8.859
5.040,-8.808
5.050,-8.739
5.060,-8.670
5.070,-8.601
5.080,-8.659
5.090,-8.719
5.100,-8.779
5.110,-8.911
5.120,-9.082
5.130,-9.253
5.140,-9.417
5.150,-9.567
5.160,-9.717
5.170,-9.867
5.180,-9.914
5.190,-9.959
5.200,-10.004
5.210,-10.032
5.220,-10.050
5.230,-10.068
5.240,-10.087
5.250,-10.108
5.260,-10.129
5.270,-10.150
5.280,-10.179
5.290,-10.209
5.300,-10.239
5.310,-10.263
5.320,-10.284
5.330,-10.305
5.340,-10.330
5.350,-10.363
5.360,-10.396
5.370,-10.429
5.380,-10.468
5.390,-10.507
5.400,-10.546
5.410,-10.587
5.420,-10.629
5.430,-10.671
5.440,-10.687
5.450,-10.645
5.460,-10.603
5.470,-10.561
5.480,-10.370
5.490,-10.175
5.500,-9.981
5.510,-9.803
5.520,-9.635
5.530,-9.467
5.540,-9.326
5.550,-9.248
5.560,-9.170
5.570,-9.092
5.580,-8.979
5.590,-8.865
5.600,-8.752
5.610,-8.737
5.620,-8.779
5.630,-8.821
5.640,-8.889
5.650,-9.018
5.660,-9.147
5.670,-9.276
5.680,-9.408
5.690,-9.540
5.700,-9.672
5.710,-9.777
5.720,-9.867
5.730,-9.957
5.740,-10.028
5.750,-10.055
5.760,-10.082
5.770,-10.109
5.780,-10.124
5.790,-10.139
5.800,-10.154
5.810,-10.164
5.820,-10.170
5.830,-10.176
5.840,-10.184
5.850,-10.199
5.860,-10.214
5.870,-10.229
5.880,-10.305
5.890,-10.383
5.900,-10.461
5.910,-10.520
5.920,-10.568
5.930,-10.616
5.940,-10.663
5.950,-10.708
5.960,-10.753
5.970,-10.798
5.980,-10.722
5.990,-10.641
6.000,-10.560
6.010,-10.440
6.020,-10.296
6.030,-10.152
6.040,-9.988
6.050,-9.775
6.060,-9.562
6.070,-9.349
6.080,-9.297
6.090,-9.252
6.100,-9.207
6.110,-9.139
6.120,-9.058
6.130,-8.977
6.140,-8.910
6.150,-8.877
6.160,-8.844
6.170,-8.811
6.180,-8.893
6.190,-8.980
6.200,-9.067
6.210,-9.195
6.220,-9.348
6.230,-9.501
6.240,-9.642
6.250,-9.753
6.260,-9.864
6.270,-9.975
6.280,-10.017
6.290,-10.056
6.300,-10.095
6.310,-10.116
6.320,-10.125
6.330,-10.134
6.340,-10.137
6.350,-10.128
6.360,-10.119
6.370,-10.110
6.380,-10.136
6.390,-10.163
6.400,-10.190
6.410,-10.220
6.420,-10.253
6.430,-10.286
6.440,-10.324
6.450,-10.372
6.460,-10.420
6.470,-10.468
6.480,-10.547
6.490,-10.628
6.500,-10.709
6.510,-10.749
6.520,-10.764
6.530,-10.779
6.540,-10.743
6.550,-10.575
6.560,-10.407
6.570,-10.239
6.580,-10.060
6.590,-9.880
6.600,-9.700
6.610,-9.549
6.620,-9.417
6.630,-9.285
6.640,-9.168
6.650,-9.090
6.660,-9.012
6.670,-8.934
6.680,-8.981
6.690,-9.035
6.700,-9.089
6.710,-9.141
6.720,-9.192
6.730,-9.243
6.740,-9.285
6.750,-9.303
6.760,-9.321
6.770,-9.339
6.780,-9.382
6.790,-9.427
6.800,-9.472
6.810,-9.559
6.820,-9.673
6.830,-9.787
6.840,-9.882
6.850,-9.927
6.860,-9.972
6.870,-10.017
6.880,-10.031
6.890,-10.043
6.900,-10.055
6.910,-10.069
6.920,-10.084
6.930,-10.099
6.940,-10.114
6.950,-10.129
6.960,-10.144
6.970,-10.159
6.980,-10.185
6.990,-10.212
7.000,-10.239
7.010,-10.281
7.020,-10.332
7.030,-10.383
7.040,-10.439
7.050,-10.508
7.060,-10.577
7.070,-10.646
7.080,-10.723
7.090,-10.801
7.100,-10.879
7.110,-10.845
7.120,-10.737
7.130,-10.629
7.140,-10.504
7.150,-10.330
7.160,-10.156
7.170,-9.982
7.180,-9.777
7.190,-9.570
7.200,-9.363
7.210,-9.262
7.220,-9.232
7.230,-9.202
7.240,-9.161
7.250,-9.089
7.260,-9.017
7.270,-8.945
7.280,-8.946
7.290,-8.952
7.300,-8.958
7.310,-9.014
7.320,-9.104
7.330,-9.194
7.340,-9.287
7.350,-9.389
7.360,-9.491
7.370,-9.593
7.380,-9.686
7.390,-9.779
7.400,-9.872
7.410,-9.937
7.420,-9.982
7.430,-10.027
7.440,-10.062
7.450,-10.071
7.460,-10.080
7.470,-10.089
7.480,-10.093
7.490,-10.096
7.500,-10.099
7.510,-10.109
7.520,-10.124
7.530,-10.139
7.540,-10.154
7.550,-10.169
7.560,-10.184
7.570,-10.199
7.580,-10.217
7.590,-10.235
7.600,-10.253
7.610,-10.278
7.620,-10.308
7.630,-10.338
7.640,-10.381
7.650,-10.465
7.660,-10.549
7.670,-10.633
7.680,-10.640
7.690,-10.640
7.700,-10.640
7.710,-10.589
7.720,-10.502
7.730,-10.415
7.740,-10.302
7.750,-10.113
7.760,-9.924
7.770,-9.735
7.780,-9.604
7.790,-9.478
7.800,-9.352
7.810,-9.267
7.820,-9.210
7.830,-9.153
7.840,-9.108
7.850,-9.099
7.860,-9.090
7.870,-9.081
7.880,-9.088
7.890,-9.097
7.900,-9.106
7.910,-9.127
7.920,-9.157
7.930,-9.187
7.940,-9.235
7.950,-9.337
7.960,-9.439
7.970,-9.541
7.980,-9.651
7.990,-9.762
8.000,-9.873
8.010,-9.937
8.020,-9.967
8.030,-9.997
8.040,-10.021
8.050,-10.027
8.060,-10.033
8.070,-10.039
8.080,-10.056
8.090,-10.074
8.100,-10.092
8.110,-10.110
8.120,-10.128
8.130,-10.146
8.140,-10.161
8.150,-10.164
8.160,-10.167
8.170,-10.170
8.180,-10.178
8.190,-10.187
8.200,-10.196
8.210,-10.190
8.220,-10.172
8.230,-10.154
8.240,-10.160
8.250,-10.241
8.260,-10.321
8.270,-10.402
8.280,-10.456
8.290,-10.507
8.300,-10.558
8.310,-10.565
8.320,-10.538
8.330,-10.511
8.340,-10.456
8.350,-10.312
8.360,-10.168
8.370,-10.024
8.380,-9.858
8.390,-9.690
8.400,-9.522
8.410,-9.400
8.420,-9.313
8.430,-9.226
8.440,-9.147
8.450,-9.093
8.460,-9.039
8.470,-8.985
8.480,-8.991
8.490,-9.003
8.500,-9.015
8.510,-9.063
8.520,-9.138
8.530,-9.213
8.540,-9.299
8.550,-9.425
8.560,-9.551
8.570,-9.677
8.580,-9.763
8.590,-9.844
8.600,-9.925
8.610,-9.974
8.620,-9.998
8.630,-10.022
8.640,-10.043
8.650,-10.055
8.660,-10.067
8.670,-10.079
8.680,-10.085
8.690,-10.091
8.700,-10.097
8.710,-10.105
8.720,-10.114
8.730,-10.123
8.740,-10.142
8.750,-10.196
8.760,-10.250
8.770,-10.304
8.780,-10.356
8.790,-10.407
8.800,-10.458
8.810,-10.490
8.820,-10.508
8.830,-10.526
8.840,-10.533
8.850,-10.503
8.860,-10.473
8.870,-10.443
8.880,-10.357
8.890,-10.264
8.900,-10.171
8.910,-10.075
8.920,-9.976
8.930,-9.877
8.940,-9.780
8.950,-9.690
8.960,-9.600
8.970,-9.510
8.980,-9.444
8.990,-9.381
9.000,-9.318
9.010,-9.258
9.020,-9.201
9.030,-9.144
9.040,-9.103
9.050,-9.118
9.060,-9.133
9.070,-9.148
9.080,-9.179
9.090,-9.212
9.100,-9.245
9.110,-9.295
9.120,-9.358
9.130,-9.421
9.140,-9.493
9.150,-9.598
9.160,-9.703
9.170,-9.808
9.180,-9.868
9.190,-9.922
9.200,-9.976
9.210,-10.005
9.220,-10.014
9.230,-10.023
9.240,-10.029
9.250,-10.023
9.260,-10.017
9.270,-10.011
9.280,-10.021
9.290,-10.033
9.300,-10.045
9.310,-10.062
9.320,-10.083
9.330,-10.104
9.340,-10.128
9.350,-10.167
9.360,-10.206
9.370,-10.245
9.380,-10.284
9.390,-10.323
9.400,-10.362
9.410,-10.410
9.420,-10.464
9.430,-10.518
9.440,-10.557
9.450,-10.542
9.460,-10.527
9.470,-10.512
9.480,-10.386
9.490,-10.245
9.500,-10.104
9.510,-9.962
9.520,-9.818
9.530,-9.674
9.540,-9.533
9.550,-9.407
9.560,-9.282
9.570,-9.156
9.580,-9.116
9.590,-9.089
9.600,-9.062
9.610,-9.070
9.620,-9.106
9.630,-9.142
9.640,-9.184
9.650,-9.253
9.660,-9.322
9.670,-9.391
9.680,-9.484
9.690,-9.580
9.700,-9.676
9.710,-9.748
9.720,-9.799
9.730,-9.850
9.740,-9.895
9.750,-9.919
9.760,-9.943
9.770,-9.967
9.780,-9.978
9.790,-9.987
